"LANG","syn_index","cov_index","type"
"BASQUE",0,6,"natural"
"BULGARIAN",1,6,"natural"
"CATALAN",0,6,"natural"
"CHINESE",0,4,"natural"
"DUTCH",1,6,"natural"
"ENGLISH",0,6,"natural"
"FINNISH",0,4,"natural"
"FRENCH",2,6,"natural"
"GEORGIAN",1,5,"natural"
"GERMAN",2,6,"natural"
"GREEK",1,4,"natural"
"HAUSA",0,5,"natural"
"HEBREW",1,5,"natural"
"HINDI",1,5,"natural"
"HUNGARIAN",0,6,"natural"
"ICELAND",1,6,"natural"
"IRISH",2,6,"natural"
"ITALIAN",0,6,"natural"
"JAPANESE",0,6,"natural"
"KANNADA",0,4,"natural"
"KAZAKH",2,6,"natural"
"KOREAN",0,6,"natural"
"LATIN",1,6,"natural"
"LATVIAN",0,6,"natural"
"LEZGIAN",0,6,"natural"
"LITHUANIAN",1,6,"natural"
"MALTESE",0,5,"natural"
"NANAY",0,6,"natural"
"OSSETIC",0,5,"natural"
"PERSIAN",0,5,"natural"
"POLISH",0,6,"natural"
"PORTUG",3,6,"natural"
"QUECHUA",0,5,"natural"
"ROMANIAN",0,6,"natural"
"RUSSIAN",3,6,"natural"
"SERBIAN",1,6,"natural"
"SWAHILI",0,5,"natural"
"SWEDISH",0,6,"natural"
"TURKISH",2,6,"natural"
"YAKUT",1,6,"natural"
"fl100",0,5,"artificial"
"fl1002",0,5,"artificial"
"fl1003",1,6,"artificial"
"fl1022",0,4,"artificial"
"fl103",0,6,"artificial"
"fl1035",1,6,"artificial"
"fl1046",0,5,"artificial"
"fl1065",0,5,"artificial"
"fl1072",2,6,"artificial"
"fl1095",1,6,"artificial"
"fl110",2,6,"artificial"
"fl1109",1,6,"artificial"
"fl112",0,6,"artificial"
"fl1168",2,6,"artificial"
"fl1182",0,5,"artificial"
"fl1186",2,6,"artificial"
"fl1206",0,5,"artificial"
"fl1208",0,5,"artificial"
"fl1217",0,5,"artificial"
"fl1230",2,6,"artificial"
"fl1288",1,6,"artificial"
"fl1340",0,5,"artificial"
"fl1346",2,6,"artificial"
"fl1351",0,6,"artificial"
"fl1369",1,6,"artificial"
"fl1383",1,5,"artificial"
"fl1403",1,5,"artificial"
"fl1418",1,5,"artificial"
"fl1422",2,6,"artificial"
"fl1423",2,6,"artificial"
"fl1441",1,5,"artificial"
"fl1445",2,6,"artificial"
"fl1457",2,6,"artificial"
"fl1485",1,6,"artificial"
"fl1496",1,6,"artificial"
"fl1515",1,5,"artificial"
"fl1519",0,5,"artificial"
"fl1521",1,6,"artificial"
"fl1564",1,6,"artificial"
"fl157",1,5,"artificial"
"fl1645",0,5,"artificial"
"fl1656",0,5,"artificial"
"fl1676",0,5,"artificial"
"fl1679",0,5,"artificial"
"fl1716",1,6,"artificial"
"fl1750",2,6,"artificial"
"fl1821",2,6,"artificial"
"fl1827",0,5,"artificial"
"fl183",0,5,"artificial"
"fl1858",0,5,"artificial"
"fl1875",0,5,"artificial"
"fl1886",0,5,"artificial"
"fl1888",0,5,"artificial"
"fl1909",0,6,"artificial"
"fl1929",2,6,"artificial"
"fl193",2,6,"artificial"
"fl1957",0,5,"artificial"
"fl1959",0,5,"artificial"
"fl1967",0,5,"artificial"
"fl1993",0,5,"artificial"
"fl2",0,5,"artificial"
"fl2031",1,6,"artificial"
"fl2032",2,6,"artificial"
"fl2051",1,6,"artificial"
"fl2058",0,5,"artificial"
"fl206",0,6,"artificial"
"fl2098",1,6,"artificial"
"fl2102",2,6,"artificial"
"fl2136",0,5,"artificial"
"fl2154",2,6,"artificial"
"fl2162",2,6,"artificial"
"fl2206",2,6,"artificial"
"fl2220",0,5,"artificial"
"fl2231",0,5,"artificial"
"fl2259",2,6,"artificial"
"fl2265",2,6,"artificial"
"fl2278",0,5,"artificial"
"fl2289",2,6,"artificial"
"fl2290",2,6,"artificial"
"fl2306",0,5,"artificial"
"fl2349",2,6,"artificial"
"fl2356",0,5,"artificial"
"fl2370",1,6,"artificial"
"fl2394",1,6,"artificial"
"fl2397",0,5,"artificial"
"fl2402",2,6,"artificial"
"fl2406",2,6,"artificial"
"fl2438",0,5,"artificial"
"fl2453",0,6,"artificial"
"fl2454",0,5,"artificial"
"fl2474",0,6,"artificial"
"fl2478",0,5,"artificial"
"fl2491",0,5,"artificial"
"fl2511",2,6,"artificial"
"fl2543",0,5,"artificial"
"fl2554",0,6,"artificial"
"fl2555",0,5,"artificial"
"fl2558",0,6,"artificial"
"fl2585",0,5,"artificial"
"fl2595",0,5,"artificial"
"fl2646",0,5,"artificial"
"fl2676",0,6,"artificial"
"fl2680",0,5,"artificial"
"fl2721",0,5,"artificial"
"fl2724",2,6,"artificial"
"fl2728",1,6,"artificial"
"fl2734",0,5,"artificial"
"fl2741",2,6,"artificial"
"fl2753",0,5,"artificial"
"fl276",0,5,"artificial"
"fl2775",0,5,"artificial"
"fl2804",0,5,"artificial"
"fl2809",2,6,"artificial"
"fl2814",2,6,"artificial"
"fl2816",0,6,"artificial"
"fl2825",1,6,"artificial"
"fl2846",0,5,"artificial"
"fl2866",2,6,"artificial"
"fl2919",2,6,"artificial"
"fl2923",2,6,"artificial"
"fl2944",0,5,"artificial"
"fl2974",0,5,"artificial"
