"LANG","complexityoflanguages","costoflanguages","RSAcostoflanguages","type","minimal"
"fl1",5,4.59770114942529,3.00686433988819,"Haspel-ok",2.878476343864
"fl10",11,2.4411951684679,1.93861553715719,"Haspel-ok",1.19467199334812
"fl100",21,2.6012343820563,2.14587952294382,"Haspel-ok",1.52649801290118
"fl1000",5,3.47826086956522,2.40379127643272,"Haspel-ok",1.77847397386566
"fl1001",6,3.95061728395062,2.77792063534611,"Haspel-ok",2.39103279026083
"fl1002",13,2.85431119920714,2.22010264458651,"Haspel-ok",1.66282661297769
"fl1003",17,2.3890997324706,1.88888022293733,"Haspel-ok",1.26911491610057
"fl1004",23,2.42781875658588,1.92844226922428,"Haspel-ok",1.37004734020585
"fl1005",5,5.87755102040816,5.05393441918432,"Haspel-ok",4.12878700261305
"fl1006",2,4.36363636363637,3.70665044227079,"Haspel-ok",0.818467871425951
"fl1007",13,1.63265306122449,1.48462206776716,"Haspel-ok",0.441967069708307
"fl1008",3,3.10679611650485,2.70519520442668,"Haspel-ok",0.811206768900677
"fl1009",16,3.05138619106481,2.63265230428784,"Haspel-ok",1.91686739552183
"fl101",17,3.10847274689693,2.65990861757894,"Haspel-ok",1.98847085972776
"fl1010",3,6.07594936708861,5.03786369071343,"Haspel-ok",2.21485321693236
"fl1011",16,2.86175630356478,2.41079101584104,"Haspel-ok",1.72729083175101
"fl1012",15,2.74394601032156,2.43732364161973,"Haspel-ok",1.59299314998096
"fl1013",5,5.87755102040816,5.05393441918432,"Haspel-ok",4.12878700261305
"fl1014",3,4.32108027006752,3.73418031780742,"Haspel-ok",1.70422258982596
"fl1015",13,2.76590636254502,2.4848315383518,"Haspel-ok",1.57446038678266
"fl1016",22,2.21351164399354,1.90747208891946,"Haspel-ok",1.14744582377116
"fl1017",16,2.65989378896329,2.51187391978662,"Haspel-ok",1.52549964605488
"fl1018",15,3.57320099255583,3.06389488543764,"Haspel-ok",2.42211623051548
"fl1019",22,2.71442035815269,1.8136862132837,"Haspel-ok",1.64808652850042
"fl102",18,3.06897194767829,2.55305201143864,"Haspel-ok",1.9621552622655
"fl1020",15,3.01570680628272,2.43028458310631,"Haspel-ok",1.86469779708549
"fl1021",17,2.53677442085792,2.1358002563031,"Haspel-ok",1.41678468610584
"fl1022",1,12.3076923076923,12.3076923076923,"Haspel-ok",0.6553415950555
"fl1023",18,3.49539308001173,3.10225057270416,"Haspel-ok",2.38840409498391
"fl1024",4,5.54913294797688,4.59165053912082,"Haspel-ok",3.08684415734081
"fl1025",13,4.22442244224423,3.37525841401506,"Haspel-ok",3.03262720698414
"fl1026",2,5.20325203252033,4.00225963168004,"Haspel-ok",1.06239698797498
"fl1027",17,2.5385632437197,2.18989147014585,"Haspel-ok",1.41857345566706
"fl1028",12,3.39355852317361,3.2505222223148,"Haspel-ok",2.17648116897114
"fl1029",18,2.73050485897132,2.43441023968753,"Haspel-ok",1.62388934020482
"fl103",3,2.75862068965517,2.35690559861359,"Haspel-ok",0.505773143963208
"fl1030",13,3.40476509485266,2.59388810845824,"Haspel-ok",2.21310948475996
"fl1031",6,3.67393800229621,3.12798250457709,"Haspel-ok",2.11631270763217
"fl1032",21,2.68364652896413,2.41223819275573,"Haspel-ok",1.60882106742827
"fl1033",2,6.95652173913043,5.49663928304705,"Haspel-ok",1.34393015509127
"fl1034",19,2.21035464168079,1.66806676320656,"Haspel-ok",1.11482312135013
"fl1035",14,2.34623217922607,1.89255320172235,"Haspel-ok",1.17677379814874
"fl1036",6,3.05489260143198,1.88217881651001,"Haspel-ok",1.50148533094874
"fl1037",5,3.26530612244898,2.92127897738303,"Haspel-ok",1.56879266712323
"fl1038",5,5.87755102040816,5.05393441918432,"Haspel-ok",4.12878700261305
"fl1039",13,2.43654822335025,2.34388388485112,"Haspel-ok",1.24529434031466
"fl104",14,2.52686992761571,2.10974241715191,"Haspel-ok",1.3572870279528
"fl1040",14,2.86282306163022,2.20040899820498,"Haspel-ok",1.6930792173501
"fl1041",19,2.22634508348794,1.71971982797448,"Haspel-ok",1.13081356269312
"fl1042",9,3.29456625357483,2.96726436308079,"Haspel-ok",1.9667469866828
"fl1043",16,3.19715808170515,3.08546639123767,"Haspel-ok",2.0626049598928
"fl1044",7,2.70422535211268,2.62070433021015,"Haspel-ok",1.24976416808184
"fl1045",12,2.74568999761659,2.06546789076716,"Haspel-ok",1.52901795942454
"fl1046",12,3.90243902439025,3.60139800532048,"Haspel-ok",2.68518041536126
"fl1047",2,4.70588235294118,3.64584109017798,"Haspel-ok",0.931423250272692
"fl1048",4,3.3256351039261,2.75541851818264,"Haspel-ok",1.40296643104807
"fl1049",4,4.89795918367347,3.59495605655331,"Haspel-ok",2.8577915847225
"fl105",3,3.05732484076433,3.05732484076433,"Haspel-ok",0.768413723778903
"fl1050",16,3.11101509212679,2.66198423619905,"Haspel-ok",1.97648164330201
"fl1051",7,3.5538005923001,2.51027848327539,"Haspel-ok",2.09639277443893
"fl1052",16,2.57114161365919,1.83266019569602,"Haspel-ok",1.43678517386136
"fl1053",9,2.83907007311263,2.27223267600067,"Haspel-ok",1.51180158024799
"fl1054",10,3.36284908047096,2.46679342511037,"Haspel-ok",2.07943438524415
"fl1055",6,3.05732484076433,3.05732484076433,"Haspel-ok",1.50390082319585
"fl1056",17,2.0564084255623,1.49611364053352,"Haspel-ok",0.936440373515123
"fl1057",20,3.52401345977363,1.97145480151303,"Haspel-ok",2.4394149594397
"fl1058",6,3.29896907216495,2.4789990179524,"Haspel-ok",1.74392432674497
"fl1059",4,3.83233532934132,2.68081793530383,"Haspel-ok",1.88521483668243
"fl106",7,3.08930008045052,2.11981593811829,"Haspel-ok",1.6335163614858
"fl1060",15,2.64868179031269,2.46168124844523,"Haspel-ok",1.49775343539219
"fl1061",8,3.07528029898559,2.84538370121467,"Haspel-ok",1.69189649089604
"fl1062",10,3.04011259676284,2.48177542900765,"Haspel-ok",1.75693943285983
"fl1063",12,2.73764258555133,2.21433733081089,"Haspel-ok",1.52097775240324
"fl1064",21,1.71418367954289,1.57664577550733,"Haspel-ok",0.64185552816223
"fl1065",19,2.3030787684926,1.96134422399507,"Haspel-ok",1.20754724564143
"fl1066",19,2.5185832968955,1.75729766518201,"Haspel-ok",1.42305176945512
"fl1067",17,3.44734715863184,2.69829753093291,"Haspel-ok",2.32734088639695
"fl1068",16,2.58301755644745,1.90599236174576,"Haspel-ok",1.44865580391964
"fl1069",16,2.92645751301918,1.99050810176876,"Haspel-ok",1.79197257906871
"fl107",7,2.94027565084227,2.61456041530557,"Haspel-ok",1.48500423305287
"fl1070",16,2.72426296705029,1.96854772407233,"Haspel-ok",1.58984411234299
"fl1071",13,3.13378429843492,2.09076049493691,"Haspel-ok",1.94220076802178
"fl1072",19,2.76576406633169,2.16276066758415,"Haspel-ok",1.67023253508571
"fl1073",9,2.98136645962733,2.77206896211929,"Haspel-ok",1.65389334231512
"fl1074",18,3.09037744453685,2.28029876297277,"Haspel-ok",1.98355034434635
"fl1075",23,2.60058844333411,2.02095440946463,"Haspel-ok",1.54255153682897
"fl1076",5,2.77456647398844,2.32486811748724,"Haspel-ok",1.0852058602198
"fl1077",17,2.31790744466801,1.73481116517305,"Haspel-ok",1.19792543259801
"fl1078",22,2.26296490309062,1.83004751186757,"Haspel-ok",1.1968626451811
"fl1079",17,1.83937410186812,1.6100608524803,"Haspel-ok",0.719425342693401
"fl108",15,2.58698125636266,2.05616992869163,"Haspel-ok",1.43607050763304
"fl1080",2,4.36363636363637,3.70665044227079,"Haspel-ok",0.818467871425951
"fl1081",14,3.14731167128078,2.63942036597074,"Haspel-ok",1.9774742891311
"fl1082",15,3.00861843823453,2.59094206303928,"Haspel-ok",1.85761068492865
"fl1083",16,2.61204746428841,2.04891938651549,"Haspel-ok",1.47767308458791
"fl1084",11,2.46892413201886,2.03594503998443,"Haspel-ok",1.22236793708232
"fl1085",19,2.82062582635522,2.23405398941818,"Haspel-ok",1.72509429441247
"fl1086",15,2.73050485897132,2.22885852038367,"Haspel-ok",1.57955527710063
"fl1087",12,2.55130665879226,1.88065485377501,"Haspel-ok",1.3347183092298
"fl1088",6,2.67657992565056,2.36946190403189,"Haspel-ok",1.12564280290913
"fl1089",20,2.63732238518948,2.3553009242707,"Haspel-ok",1.55352606734004
"fl109",2,5.81818181818182,4.55250905328505,"Haspel-ok",1.18556023756711
"fl1090",25,2.56246756135538,2.07597975383346,"Haspel-ok",1.51960912486491
"fl1091",21,2.98406942105945,2.37348471726008,"Haspel-ok",1.90898428219268
"fl1092",3,2.42424242424242,2.42424242424242,"Haspel-ok",0.20512836155618
"fl1093",6,2.03389830508475,1.90265930757652,"Haspel-ok",0.487002511600772
"fl1094",7,3.26283987915408,2.44079356508067,"Haspel-ok",1.8064542578884
"fl1095",5,3.89847715736041,2.74700286046419,"Haspel-ok",2.1918684296163
"fl1096",14,2.9417773237998,2.76330136842796,"Haspel-ok",1.77200450935829
"fl1097",10,2.83883686545096,2.56010271945121,"Haspel-ok",1.55586504774544
"fl1098",15,2.96017130620985,2.19936869735136,"Haspel-ok",1.80917240005818
"fl1099",2,5.20325203252033,4.00225963168004,"Haspel-ok",1.06239698797498
"fl11",10,4.11428571428572,3.05364589539475,"Haspel-ok",2.83025346495715
"fl110",4,1.995841995842,1.87298720329886,"Haspel-ok",0.120591820313888
"fl1100",9,3.95967002749771,2.72912435801007,"Haspel-ok",2.63099932660851
"fl1101",6,3.39622641509434,2.92516221914275,"Haspel-ok",1.84052071846641
