"LANG","complexityoflanguages","costoflanguages","RSAcostoflanguages","type","minimal"
"fl100",4,7.43034055727554,5.89259245182623,"artificial",3.38306734549748
"fl1002",4,7.43034055727554,5.89259245182623,"artificial",3.38306734549748
"fl1003",6,3.56877323420074,2.81793360090681,"artificial",2.0118777615549
"fl1022",4,5.31855955678671,3.97732228521588,"artificial",3.02307772442675
"fl103",6,2.97674418604651,2.26430506582441,"artificial",1.42385086513915
"fl1035",11,2.3558282208589,1.76204389111464,"artificial",1.10934645074891
"fl1046",3,5.54272517321016,4.26329716313512,"artificial",2.11311270536717
"fl1065",1,5.4421768707483,4.28164000080908,"artificial",0.13403109617218
"fl1072",4,4.18118466898955,3.07253407888663,"artificial",2.21338643382734
"fl1095",10,2.39401496259352,1.79057979604581,"artificial",1.1113563692811
"fl110",6,2.72856466129796,2.0804673074772,"artificial",1.17730168230147
"fl1109",6,2.49027237354086,2.07698013681695,"artificial",0.940525956394727
"fl112",2,6,4.52119309262167,"artificial",1.21591310639402
"fl1168",12,3.0728194185116,2.33522270796656,"artificial",1.85590736583275
"fl1182",7,2.93577981651376,2.15999854545553,"artificial",1.4805237175369
"fl1186",10,2.15488215488216,1.62197672482368,"artificial",0.872418126404643
"fl1206",6,2.66666666666667,2.15102291949926,"artificial",1.11579511961115
"fl1208",2,6.77966101694915,4.84323338273858,"artificial",1.32357177736426
"fl1217",2,6.77966101694915,4.84323338273858,"artificial",1.32357177736426
"fl1230",13,2.80565026790063,2.15244670209151,"artificial",1.61418641098665
"fl1288",6,3.29802462066991,2.61087770707021,"artificial",1.74298607406752
"fl1340",1,5.4421768707483,4.28164000080908,"artificial",0.13403109617218
"fl1346",9,3.40425531914894,2.29286911552254,"artificial",2.07628085778542
"fl1351",4,3.77358490566038,3.17656592334704,"artificial",1.82958541271646
"fl1369",4,4.18300653594771,3.14026159020733,"artificial",2.21508833445339
"fl1383",4,3.32409972299169,2.29085711989806,"artificial",1.40149733232763
"fl1403",7,4.0463645943098,2.89968059641764,"artificial",2.58718073131593
"fl1418",7,2.94027565084227,2.26613401726968,"artificial",1.48500423305287
"fl1422",4,4.48877805486284,3.16836874389533,"artificial",2.49831102750227
"fl1423",10,3.08930008045052,2.25764303927671,"artificial",1.80608453202666
"fl1441",6,5.03276539973788,3.85093785760486,"artificial",3.46499765101521
"fl1445",5,3.2625318606627,2.33096334946741,"artificial",1.56606053119949
"fl1457",5,4.87309644670051,3.03982001667391,"artificial",3.14835938891758
"fl1485",9,3.42144342144342,3.00822649820541,"artificial",2.09344405270544
"fl1496",10,2.3841059602649,1.80553526113467,"artificial",1.10145375203272
"fl1515",7,2.94027565084227,2.61456041530557,"artificial",1.48500423305287
"fl1519",9,3.1858407079646,2.52713870986827,"artificial",1.85812838909678
"fl1521",7,3.51005484460695,2.40350577564885,"artificial",2.05279602588263
"fl1564",8,3.46674691543786,2.31896505785031,"artificial",2.08258227850442
"fl157",4,5.35714285714286,3.3383897144372,"artificial",3.03460348488562
"fl1645",2,6.77966101694915,4.84323338273858,"artificial",1.32357177736426
"fl1656",6,2.44274809160305,2.07736210607675,"artificial",0.893312903281272
"fl1676",1,5.4421768707483,4.28164000080908,"artificial",0.13403109617218
"fl1679",3,5.54272517321016,4.26329716313512,"artificial",2.11311270536717
"fl1716",3,4.05063291139241,2.98593150073614,"artificial",1.54766366805412
"fl1750",6,4.4104134762634,2.73516950597033,"artificial",2.84745371544331
"fl1821",13,1.90602250165453,1.70543045707836,"artificial",0.71528870492509
"fl1827",4,3.76470588235294,3.09954689746859,"artificial",1.8211704450869
"fl183",4,4.07643312101911,3.29785377770023,"artificial",2.11528464817943
"fl1858",1,5.88235294117647,4.27822439706397,"artificial",0.209936575923483
"fl1875",4,7.43034055727554,5.89259245182623,"artificial",3.38306734549748
"fl1886",3,5.54272517321016,4.26329716313512,"artificial",2.11311270536717
"fl1888",2,5.4421768707483,4.28164000080908,"artificial",1.11449896050913
"fl1909",11,2.05861329521087,2.01160358848594,"artificial",0.812181255705688
"fl1929",7,3.8135593220339,3.01077903209095,"artificial",2.35522001790721
"fl193",5,4.39828955406231,3.06890995078735,"artificial",2.68284786054855
"fl1957",1,5.88235294117647,4.27822439706397,"artificial",0.209936575923483
"fl1959",2,5.4421768707483,4.28164000080908,"artificial",1.11449896050913
"fl1967",6,2.65193370165746,2.11513989866814,"artificial",1.10116178647887
"fl1993",7,3.49090909090909,3.0212793149722,"artificial",2.03371749628787
"fl2",1,5.4421768707483,4.28164000080908,"artificial",0.13403109617218
"fl2031",6,3.29802462066991,2.61087770707021,"artificial",1.74298607406752
"fl2032",5,3.96257567418822,3.55703431494987,"artificial",2.25488104274324
"fl2051",4,3.43716433941998,2.26928900115651,"artificial",1.50954114089168
"fl2058",1,5.4421768707483,4.28164000080908,"artificial",0.13403109617218
"fl206",2,6,4.52119309262167,"artificial",1.21591310639402
"fl2098",11,3.39022954679223,2.77786741374168,"artificial",2.1430618600187
"fl2102",6,2.54810882548109,1.91653775147533,"artificial",0.998002837146788
"fl2136",1,5.88235294117647,4.27822439706397,"artificial",0.209936575923483
"fl2154",7,3.26864147088866,2.27252838968571,"artificial",1.81223455220243
"fl2162",6,3.42612419700214,2.51039568918845,"artificial",1.87021471000361
"fl2206",4,4.21052631578948,2.70296936428072,"artificial",2.24078394975904
"fl2220",1,5.4421768707483,4.28164000080908,"artificial",0.13403109617218
"fl2231",7,2.5065274151436,2.4237787252751,"artificial",1.05273612688146
"fl2259",6,3.74804789172306,3.26334718015989,"artificial",2.18989941744272
"fl2265",6,3.11183144246353,2.17236478657657,"artificial",1.55804579020375
"fl2278",2,5.4421768707483,4.28164000080908,"artificial",1.11449896050913
"fl2289",9,3.10428455941795,2.39939663993862,"artificial",1.77666105107825
"fl2290",7,2.16867469879518,1.76557927522439,"artificial",0.71601025414447
"fl2306",9,2.87712287712288,2.49087082646038,"artificial",1.54979598572185
"fl2349",5,5.08833922261484,3.27063664741362,"artificial",3.3590305785333
"fl2356",1,5.88235294117647,4.27822439706397,"artificial",0.209936575923483
"fl2370",4,3.6676217765043,2.69524108891375,"artificial",1.72903915089316
"fl2394",6,3.46257889990983,2.2750080869509,"artificial",1.90641515471895
"fl2397",2,5.4421768707483,4.28164000080908,"artificial",1.11449896050913
"fl2402",9,2.49783174327841,1.84866722079741,"artificial",1.17094250245609
"fl2406",7,2.62354816670462,2.18110037256823,"artificial",1.16937642297441
"fl2438",4,7.43034055727554,5.89259245182623,"artificial",3.38306734549748
"fl2453",2,6,4.52119309262167,"artificial",1.21591310639402
"fl2454",7,2.59225922592259,2.15482177879988,"artificial",1.1381815582818
"fl2474",9,3,2.25553784489872,"artificial",1.67250266378483
"fl2478",2,5.4421768707483,4.28164000080908,"artificial",1.11449896050913
"fl2491",5,2.36744759556104,2.0593373115139,"artificial",0.683635621203545
"fl2511",6,3.00391134289439,2.30940365384653,"artificial",1.45083999595609
"fl2543",7,2.79340446168768,2.15799294943394,"artificial",1.33864394459815
"fl2554",8,1.48837209302326,1.34430334094466,"artificial",0.108374974594541
"fl2555",1,5.4421768707483,4.28164000080908,"artificial",0.13403109617218
"fl2558",11,2.84023668639053,2.17382305274052,"artificial",1.5933490038832
"fl2585",4,7.43034055727554,5.89259245182623,"artificial",3.38306734549748
"fl2595",2,5.4421768707483,4.28164000080908,"artificial",1.11449896050913
"fl2646",3,5.54272517321016,4.26329716313512,"artificial",2.11311270536717
"fl2676",6,2.97674418604651,2.26430506582441,"artificial",1.42385086513915
"fl2680",2,5.4421768707483,4.28164000080908,"artificial",1.11449896050913
"fl2721",4,2.75071633237822,2.16674388328416,"artificial",0.850773180308829
"fl2724",6,2.07657365347177,1.85030235434336,"artificial",0.529415526716054
"fl2728",9,2.69852424455376,1.92275341558083,"artificial",1.37143064501254
"fl2734",6,3.51648351648352,3.01171609788367,"artificial",1.95995284960735
"fl2741",4,4.46511627906977,2.72199410306966,"artificial",2.4766074225263
"fl2753",4,7.43034055727554,5.89259245182623,"artificial",3.38306734549748
"fl276",4,7.43034055727554,5.89259245182623,"artificial",3.38306734549748
"fl2775",1,5.4421768707483,4.28164000080908,"artificial",0.13403109617218
"fl2804",2,6.77966101694915,4.84323338273858,"artificial",1.32357177736426
"fl2809",9,4,2.3454132242272,"artificial",2.67127346046313
"fl2814",8,4.23778693349029,2.95483174924104,"artificial",2.85206558973032
"fl2816",2,6,4.52119309262167,"artificial",1.21591310639402
"fl2825",6,3.11890838206628,2.28240484851148,"artificial",1.56507761788701
"fl2846",7,3.48246674727932,2.66725801298101,"artificial",2.02530519828208
"fl2866",13,3.0728194185116,2.33522270796656,"artificial",1.8812549654714
"fl2919",11,3.26160815402039,1.9519206744741,"artificial",2.0144922557712
"fl2923",9,2.83604135893648,2.30788737548461,"artificial",1.5087776406142
"fl2944",6,3.41232227488152,3.23511967491949,"artificial",1.85651132728544
"fl2974",3,5.54272517321016,4.26329716313512,"artificial",2.11311270536717
"fl2984",7,3.8135593220339,3.01077903209095,"artificial",2.35522001790721
"fl3067",2,6.77966101694915,4.84323338273858,"artificial",1.32357177736426
"fl3085",3,4,3.13830705447609,"artificial",1.51464950071911
"fl3088",1,5.88235294117647,4.27822439706397,"artificial",0.209936575923483
"fl3102",3,5.54272517321016,4.26329716313512,"artificial",2.11311270536717
"fl3111",3,5.54272517321016,4.26329716313512,"artificial",2.11311270536717
"fl3123",5,3.43716433941998,2.26928900115651,"artificial",1.73801778421439
"fl3128",1,5.88235294117647,4.27822439706397,"artificial",0.209936575923483
"fl3131",4,4,3.27010128230361,"artificial",2.04344592284284
"fl3145",1,5.88235294117647,4.27822439706397,"artificial",0.209936575923483
"fl3161",5,4.31137724550898,2.77485112448227,"artificial",2.59753515576755
"fl3169",9,2.82768777614139,2.49148472304651,"artificial",1.50043732643992
"fl3172",12,2.56,1.67521245964097,"artificial",1.34341110480976
"fl320",4,3.6676217765043,2.69524108891375,"artificial",1.72903915089316
"fl3207",8,4,2.43403794597507,"artificial",2.61475520112625
"fl322",6,3.97790055248619,3.58274433341457,"artificial",2.41811535349486
"fl3239",3,5.54272517321016,4.26329716313512,"artificial",2.11311270536717
"fl3241",7,3.3922261484099,2.94036229525979,"artificial",1.93539582901763
"fl3248",4,3.40324963072378,2.33427737731083,"artificial",1.4771545723488
"fl3250",2,6.77966101694915,4.84323338273858,"artificial",1.32357177736426
"fl3258",1,5.88235294117647,4.27822439706397,"artificial",0.209936575923483
"fl3269",1,5.4421768707483,4.28164000080908,"artificial",0.13403109617218
"fl3288",6,4.09789413773478,2.84322415285468,"artificial",2.53724231591769
"fl3298",2,5.4421768707483,4.28164000080908,"artificial",1.11449896050913
"fl330",3,5.54272517321016,4.26329716313512,"artificial",2.11311270536717
"fl3345",6,4.20070011668612,3.05093394546955,"artificial",2.63930064357943
"fl3420",6,3.02934679709688,1.86552662781389,"artificial",1.47611469222389
"fl3445",6,3.24873096446701,2.66167374043011,"artificial",1.69402551537816
"fl3446",2,5.4421768707483,4.28164000080908,"artificial",1.11449896050913
"fl3448",5,3.85645420460632,3.64153647714294,"artificial",2.15055072464996
"fl3449",2,6,4.52119309262167,"artificial",1.21591310639402
"fl3456",1,5.88235294117647,4.27822439706397,"artificial",0.209936575923483
"fl350",8,2.84584980237154,2.12387933061408,"artificial",1.46293050494374
"fl3525",2,6.77966101694915,4.84323338273858,"artificial",1.32357177736426
"fl3535",13,2.75334608030593,2.25952431078943,"artificial",1.56190594472542
"fl3571",6,3.42612419700214,2.51039568918845,"artificial",1.87021471000361
"fl3584",1,5.88235294117647,4.27822439706397,"artificial",0.209936575923483
"fl3610",5,3.65714285714286,3.0201548272687,"artificial",1.954511950929
"fl3677",12,2.30861723446894,1.61476411418042,"artificial",1.09204762327488
"fl3682",1,5.88235294117647,4.27822439706397,"artificial",0.209936575923483
"fl3699",9,2.90982571356403,2.76030258641766,"artificial",1.58245087639151
"fl370",2,6,4.52119309262167,"artificial",1.21591310639402
"fl3710",8,3.27458783399659,2.82278987995302,"artificial",1.89083088444531
"fl3716",3,2.75071633237822,2.16674388328416,"artificial",0.498737645713774
"fl3742",2,6.77966101694915,4.84323338273858,"artificial",1.32357177736426
"fl3744",5,3.40526160212829,3.03471779118615,"artificial",1.70661192561765
"fl3746",2,6.77966101694915,4.84323338273858,"artificial",1.32357177736426
"fl3757",4,3.43716433941998,2.26928900115651,"artificial",1.50954114089168
"fl38",1,5.4421768707483,4.28164000080908,"artificial",0.13403109617218
"fl3802",3,4.05063291139241,2.98593150073614,"artificial",1.54766366805412
"fl3826",7,2.56,1.83184367437984,"artificial",1.10602489031944
"fl3867",3,5.54272517321016,4.26329716313512,"artificial",2.11311270536717
