"","LANG","ITEM","spec.know","spec.unkn","irr.nonsp","question","condit","indir.neg","dir.neg","compar","free.ch","neg.frag","Haspelmath","type"
"323","fl1","fl1-1",0,1,0,0,0,0,1,0,1,0,"Haspel-ok","Haspel-ok"
"1015","fl1","fl1-2",0,1,1,0,1,1,1,1,1,1,"Haspel-ok","Haspel-ok"
"255","fl2","fl2-1",0,1,1,1,1,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"767","fl2","fl2-2",0,1,1,1,1,1,1,1,0,1,"Haspel-ok","Haspel-ok"
"69","fl2","fl2-3",0,0,1,0,0,0,1,0,0,0,"Haspel-ok","Haspel-ok"
"153","fl2","fl2-4",0,0,0,1,1,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"157","fl2","fl2-5",0,0,1,1,1,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"639","fl2","fl2-6",0,1,1,1,1,1,1,0,0,1,"Haspel-ok","Haspel-ok"
"245","fl3","fl3-1",0,0,1,0,1,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"837","fl3","fl3-2",0,0,1,0,0,0,1,0,1,1,"Haspel-ok","Haspel-ok"
"241","fl3","fl3-3",0,0,0,0,1,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"431","fl4","fl4-1",0,1,1,1,0,1,0,1,1,0,"Haspel-ok","Haspel-ok"
"505","fl4","fl4-2",0,0,0,1,1,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"175","fl4","fl4-3",0,1,1,1,0,1,0,1,0,0,"Haspel-ok","Haspel-ok"
"751","fl4","fl4-4",0,1,1,1,0,1,1,1,0,1,"Haspel-ok","Haspel-ok"
"183","fl5","fl5-1",0,1,1,0,1,1,0,1,0,0,"Haspel-ok","Haspel-ok"
"839","fl5","fl5-2",0,1,1,0,0,0,1,0,1,1,"Haspel-ok","Haspel-ok"
"757","fl5","fl5-3",0,0,1,0,1,1,1,1,0,1,"Haspel-ok","Haspel-ok"
"173","fl5","fl5-4",0,0,1,1,0,1,0,1,0,0,"Haspel-ok","Haspel-ok"
"239","fl5","fl5-5",0,1,1,1,0,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"237","fl5","fl5-6",0,0,1,1,0,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"577","fl5","fl5-7",0,0,0,0,0,0,1,0,0,1,"Haspel-ok","Haspel-ok"
"321","fl6","fl6-1",0,0,0,0,0,0,1,0,1,0,"Haspel-ok","Haspel-ok"
"835","fl6","fl6-2",0,1,0,0,0,0,1,0,1,1,"Haspel-ok","Haspel-ok"
"583","fl7","fl7-1",0,1,1,0,0,0,1,0,0,1,"Haspel-ok","Haspel-ok"
"1023","fl7","fl7-2",0,1,1,1,1,1,1,1,1,1,"Haspel-ok","Haspel-ok"
"579","fl7","fl7-3",0,1,0,0,0,0,1,0,0,1,"Haspel-ok","Haspel-ok"
"233","fl7","fl7-4",0,0,0,1,0,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"1531","fl8","fl8-1",0,0,0,1,1,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"125","fl8","fl8-2",0,0,1,1,1,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"580","fl8","fl8-3",1,1,0,0,0,0,1,0,0,1,"Haspel-ok","Haspel-ok"
"127","fl8","fl8-4",0,1,1,1,1,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"753","fl8","fl8-5",0,0,0,0,1,1,1,1,0,1,"Haspel-ok","Haspel-ok"
"5801","fl8","fl8-6",1,1,0,0,0,0,1,0,0,1,"Haspel-ok","Haspel-ok"
"1017","fl8","fl8-7",0,0,0,1,1,1,1,1,1,1,"Haspel-ok","Haspel-ok"
"65","fl9","fl9-1",0,0,0,0,0,0,1,0,0,0,"Haspel-ok","Haspel-ok"
"159","fl9","fl9-2",0,1,1,1,1,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"637","fl9","fl9-3",0,0,1,1,1,1,1,0,0,1,"Haspel-ok","Haspel-ok"
"445","fl9","fl9-4",0,0,1,1,1,1,0,1,1,0,"Haspel-ok","Haspel-ok"
"177","fl9","fl9-5",0,0,0,0,1,1,0,1,0,0,"Haspel-ok","Haspel-ok"
"185","fl9","fl9-6",0,0,0,1,1,1,0,1,0,0,"Haspel-ok","Haspel-ok"
"1532","fl10","fl10-1",0,0,0,1,1,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"325","fl10","fl10-2",0,0,1,0,0,0,1,0,1,0,"Haspel-ok","Haspel-ok"
"7671","fl10","fl10-3",0,1,1,1,1,1,1,1,0,1,"Haspel-ok","Haspel-ok"
"433","fl11","fl11-1",0,0,0,0,1,1,0,1,1,0,"Haspel-ok","Haspel-ok"
"3","fl11","fl11-2",0,1,0,0,0,0,0,0,0,0,"Haspel-ok","Haspel-ok"
"3231","fl11","fl11-3",0,1,0,0,0,0,1,0,1,0,"Haspel-ok","Haspel-ok"
"4331","fl11","fl11-4",0,0,0,0,1,1,0,1,1,0,"Haspel-ok","Haspel-ok"
"441","fl12","fl12-1",0,0,0,1,1,1,0,1,1,0,"Haspel-ok","Haspel-ok"
"5791","fl12","fl12-2",0,1,0,0,0,0,1,0,0,1,"Haspel-ok","Haspel-ok"
"8391","fl12","fl12-3",0,1,1,0,0,0,1,0,1,1,"Haspel-ok","Haspel-ok"
"633","fl13","fl13-1",0,0,0,1,1,1,1,0,0,1,"Haspel-ok","Haspel-ok"
"1533","fl14","fl14-1",0,0,0,1,1,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"439","fl14","fl14-2",0,1,1,0,1,1,0,1,1,0,"Haspel-ok","Haspel-ok"
"2331","fl14","fl14-3",0,0,0,1,0,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"497","fl14","fl14-4",0,0,0,0,1,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"57","fl15","fl15-1",0,0,0,1,1,1,0,0,0,0,"Haspel-ok","Haspel-ok"
"425","fl16","fl16-1",0,0,0,1,0,1,0,1,1,0,"Haspel-ok","Haspel-ok"
"128","fl16","fl16-2",1,1,1,1,1,1,1,0,0,0,"Haspel-ok","Haspel-ok"
