"LANG","syn_index","cov_index","type"
"BASQUE",0,6,"natural"
"BULGARIAN",1,6,"natural"
"CATALAN",0,6,"natural"
"CHINESE",0,4,"natural"
"DUTCH",1,6,"natural"
"ENGLISH",0,6,"natural"
"FINNISH",0,4,"natural"
"fl1",11,6,"artificial"
"fl10",6,6,"artificial"
"fl100",0,5,"artificial"
"fl1000",3,5,"artificial"
"fl10000",5,6,"artificial"
"fl1001",5,4,"artificial"
"fl1002",0,5,"artificial"
"fl1003",1,6,"artificial"
"fl1004",3,6,"artificial"
"fl1005",4,6,"artificial"
"fl1006",5,5,"artificial"
"fl1007",14,6,"artificial"
"fl1008",2,5,"artificial"
"fl1009",7,5,"artificial"
"fl101",9,6,"artificial"
"fl1010",5,5,"artificial"
"fl1011",8,6,"artificial"
"fl1012",18,6,"artificial"
"fl1013",9,5,"artificial"
"fl1014",5,6,"artificial"
"fl1015",0,3,"artificial"
"fl1016",3,5,"artificial"
"fl1017",1,2,"artificial"
"fl1018",15,6,"artificial"
"fl1019",9,6,"artificial"
"fl102",19,6,"artificial"
"fl1020",14,6,"artificial"
"fl1021",0,3,"artificial"
"fl1022",0,4,"artificial"
"fl1023",9,6,"artificial"
"fl1024",3,5,"artificial"
"fl1025",12,6,"artificial"
"fl1026",2,4,"artificial"
"fl1027",5,6,"artificial"
"fl1028",5,5,"artificial"
"fl1029",10,6,"artificial"
"fl103",0,6,"artificial"
"fl1030",2,5,"artificial"
"fl1031",12,6,"artificial"
"fl1032",8,5,"artificial"
"fl1033",3,6,"artificial"
"fl1034",1,3,"artificial"
"fl1035",1,6,"artificial"
"fl1036",0,2,"artificial"
"fl1037",15,6,"artificial"
"fl1038",11,6,"artificial"
"fl1039",5,4,"artificial"
"fl104",2,4,"artificial"
"fl1040",4,5,"artificial"
"fl1041",0,3,"artificial"
"fl1042",11,6,"artificial"
"fl1043",0,4,"artificial"
"fl1044",16,6,"artificial"
"fl1045",6,6,"artificial"
"fl1046",0,5,"artificial"
"fl1047",1,2,"artificial"
"fl1048",4,6,"artificial"
"fl1049",3,6,"artificial"
"fl105",0,3,"artificial"
"fl1050",5,6,"artificial"
"fl1051",4,6,"artificial"
"fl1052",9,6,"artificial"
"fl1053",11,6,"artificial"
"fl1054",15,6,"artificial"
"fl1055",12,6,"artificial"
"fl1056",16,6,"artificial"
"fl1057",5,6,"artificial"
"fl1058",2,3,"artificial"
"fl1059",1,4,"artificial"
"fl106",11,6,"artificial"
"fl1060",0,2,"artificial"
"fl1061",12,6,"artificial"
"fl1062",17,6,"artificial"
"fl1063",11,6,"artificial"
"fl1064",8,6,"artificial"
"fl1065",0,5,"artificial"
"fl1066",18,6,"artificial"
"fl1067",8,6,"artificial"
"fl1068",7,6,"artificial"
"fl1069",13,6,"artificial"
"fl107",9,6,"artificial"
"fl1070",0,3,"artificial"
"fl1071",0,1,"artificial"
"fl1072",2,6,"artificial"
"fl1073",2,5,"artificial"
"fl1074",4,4,"artificial"
"fl1075",12,6,"artificial"
"fl1076",2,5,"artificial"
"fl1077",7,5,"artificial"
"fl1078",13,6,"artificial"
"fl1079",12,6,"artificial"
"fl108",8,6,"artificial"
"fl1080",14,6,"artificial"
"fl1081",13,6,"artificial"
"fl1082",6,6,"artificial"
"fl1083",0,3,"artificial"
"fl1084",2,5,"artificial"
"fl1085",13,6,"artificial"
"fl1086",2,5,"artificial"
"fl1087",0,4,"artificial"
"fl1088",15,6,"artificial"
"fl1089",4,6,"artificial"
"fl109",14,6,"artificial"
"fl1090",11,6,"artificial"
"fl1091",1,3,"artificial"
"fl1092",13,6,"artificial"
"fl1093",2,5,"artificial"
"fl1094",18,6,"artificial"
"fl1095",1,6,"artificial"
"fl1096",0,3,"artificial"
"fl1097",4,6,"artificial"
"fl1098",8,6,"artificial"
"fl1099",17,6,"artificial"
"fl11",14,5,"artificial"
"fl110",2,6,"artificial"
"fl1100",8,6,"artificial"
"fl1101",16,6,"artificial"
"fl1102",13,6,"artificial"
"fl1103",0,4,"artificial"
"fl1104",24,6,"artificial"
"fl1105",2,5,"artificial"
"fl1106",10,6,"artificial"
"fl1107",21,6,"artificial"
"fl1108",3,6,"artificial"
"fl1109",1,6,"artificial"
"fl111",10,6,"artificial"
"fl1110",6,6,"artificial"
"fl1111",12,6,"artificial"
"fl1112",0,2,"artificial"
"fl1113",10,5,"artificial"
"fl1114",0,1,"artificial"
"fl1115",2,5,"artificial"
"fl1116",0,2,"artificial"
"fl1117",0,2,"artificial"
"fl1118",0,4,"artificial"
"fl1119",2,5,"artificial"
"fl112",0,6,"artificial"
"fl1120",4,6,"artificial"
"fl1121",4,5,"artificial"
"fl1122",4,5,"artificial"
"fl1123",0,4,"artificial"
"fl1124",22,6,"artificial"
"fl1125",8,6,"artificial"
"fl1126",0,4,"artificial"
"fl1127",0,4,"artificial"
"fl1128",17,6,"artificial"
"fl1129",5,5,"artificial"
"fl113",2,5,"artificial"
"fl1130",7,5,"artificial"
"fl1131",3,5,"artificial"
"fl1132",7,6,"artificial"
"fl1133",11,6,"artificial"
"fl1134",12,6,"artificial"
"fl1135",2,4,"artificial"
"fl1136",3,6,"artificial"
"fl1137",0,2,"artificial"
"fl1138",3,4,"artificial"
