"LANG","complexityoflanguages","costoflanguages","RSAcostoflanguages","type","minimal"
"fl1",5,4.59770114942529,3.00686433988819,"Haspel-ok",3.02551284470138
"fl10",9,2.4411951684679,1.93861553715719,"Haspel-ok",1.28874846646195
"fl100",19,2.6012343820563,2.14587952294382,"Haspel-ok",1.6931839919675
"fl1000",5,3.47826086956522,2.40379127643272,"Haspel-ok",1.92883606109574
"fl1001",6,3.95061728395062,2.77792063534611,"Haspel-ok",2.55092254534806
"fl1002",13,2.85431119920714,2.22010264458651,"Haspel-ok",1.84477848556072
"fl1003",16,2.3890997324706,1.88888022293733,"Haspel-ok",1.43976103303034
"fl1004",21,2.42781875658588,1.92844226922428,"Haspel-ok",1.54015227078035
"fl1005",4,5.87755102040816,5.05393441918432,"Haspel-ok",3.15444554578131
"fl1006",2,4.36363636363637,3.70665044227079,"Haspel-ok",0.827890199810046
"fl1007",13,1.63265306122449,1.48462206776716,"Haspel-ok",0.623312940701404
"fl1008",3,3.10679611650485,2.70519520442668,"Haspel-ok",0.909076905342493
"fl1009",14,3.05138619106481,2.63265230428784,"Haspel-ok",2.06459574143338
"fl101",15,3.10847274689693,2.65990861757894,"Haspel-ok",2.141475554907
"fl1010",3,6.07594936708861,5.03786369071343,"Haspel-ok",2.20524228078836
"fl1011",14,2.86175630356478,2.41079101584104,"Haspel-ok",1.87505872860693
"fl1012",13,2.74394601032156,2.43732364161973,"Haspel-ok",1.73441954852963
"fl1013",4,5.87755102040816,5.05393441918432,"Haspel-ok",3.15444554578131
"fl1014",3,4.32108027006752,3.73418031780742,"Haspel-ok",1.73224274824715
"fl1015",12,2.76590636254502,2.4848315383518,"Haspel-ok",1.72947180994245
"fl1016",19,2.21351164399354,1.90747208891946,"Haspel-ok",1.30551781168446
"fl1017",14,2.65989378896329,2.51187391978662,"Haspel-ok",1.67331820514335
"fl1018",13,3.57320099255583,3.06389488543764,"Haspel-ok",2.56328369274952
"fl1019",20,2.71442035815269,1.8136862132837,"Haspel-ok",1.81745653824672
"fl102",16,3.06897194767829,2.55305201143864,"Haspel-ok",2.11963124834421
"fl1020",12,3.01570680628272,2.43028458310631,"Haspel-ok",1.97919663447895
"fl1021",16,2.53677442085792,2.1358002563031,"Haspel-ok",1.58743514138806
"fl1022",1,12.3076923076923,12.3076923076923,"Haspel-ok",0.643098046343997
"fl1023",15,3.49539308001173,3.10225057270416,"Haspel-ok",2.5283714760006
"fl1024",3,5.54913294797688,4.59165053912082,"Haspel-ok",2.10886500944522
"fl1025",11,4.22442244224423,3.37525841401506,"Haspel-ok",3.15545099342746
"fl1026",2,5.20325203252033,4.00225963168004,"Haspel-ok",1.05800563606025
"fl1027",15,2.5385632437197,2.18989147014585,"Haspel-ok",1.57162390000718
"fl1028",10,3.39355852317361,3.2505222223148,"Haspel-ok",2.28682776081144
"fl1029",17,2.73050485897132,2.43441023968753,"Haspel-ok",1.79624248407698
"fl103",3,2.75862068965517,2.35690559861359,"Haspel-ok",0.61231810041805
"fl1030",12,3.40476509485266,2.59388810845824,"Haspel-ok",2.36816891541856
"fl1031",5,3.67393800229621,3.12798250457709,"Haspel-ok",2.12090598709366
"fl1032",18,2.68364652896413,2.41223819275573,"Haspel-ok",1.76308368753309
"fl1033",2,6.95652173913043,5.49663928304705,"Haspel-ok",1.33112651801404
"fl1034",18,2.21035464168079,1.66806676320656,"Haspel-ok",1.28979518199374
"fl1035",13,2.34623217922607,1.89255320172235,"Haspel-ok",1.33673680964106
"fl1036",6,3.05489260143198,1.88217881651001,"Haspel-ok",1.66221839075182
"fl1037",5,3.26530612244898,2.92127897738303,"Haspel-ok",1.71965882049172
"fl1038",4,5.87755102040816,5.05393441918432,"Haspel-ok",3.15444554578131
"fl1039",12,2.43654822335025,2.34388388485112,"Haspel-ok",1.40025460591226
"fl104",14,2.52686992761571,2.10974241715191,"Haspel-ok",1.54039220569476
"fl1040",12,2.86282306163022,2.20040899820498,"Haspel-ok",1.8263567150146
"fl1041",17,2.22634508348794,1.71971982797448,"Haspel-ok",1.29208702115855
"fl1042",8,3.29456625357483,2.96726436308079,"Haspel-ok",2.08173281429032
"fl1043",14,3.19715808170515,3.08546639123767,"Haspel-ok",2.21030706872841
"fl1044",6,2.70422535211268,2.62070433021015,"Haspel-ok",1.3141479217393
"fl1045",12,2.74568999761659,2.06546789076716,"Haspel-ok",1.70926253150627
"fl1046",10,3.90243902439025,3.60139800532048,"Haspel-ok",2.79522094851378
"fl1047",2,4.70588235294118,3.64584109017798,"Haspel-ok",0.933791281517855
"fl1048",4,3.3256351039261,2.75541851818264,"Haspel-ok",1.53518889910682
"fl1049",4,4.89795918367347,3.59495605655331,"Haspel-ok",2.8840404742497
"fl105",3,3.05732484076433,3.05732484076433,"Haspel-ok",0.86771673260573
"fl1050",15,3.11101509212679,2.66198423619905,"Haspel-ok",2.14401771097599
"fl1051",7,3.5538005923001,2.51027848327539,"Haspel-ok",2.26294312113348
"fl1052",15,2.57114161365919,1.83266019569602,"Haspel-ok",1.60419785551966
"fl1053",9,2.83907007311263,2.27223267600067,"Haspel-ok",1.68605268263619
"fl1054",9,3.36284908047096,2.46679342511037,"Haspel-ok",2.20911810021513
"fl1055",6,3.05732484076433,3.05732484076433,"Haspel-ok",1.66463174314587
"fl1056",16,2.0564084255623,1.49611364053352,"Haspel-ok",1.10707159984885
"fl1057",17,3.52401345977363,1.97145480151303,"Haspel-ok",2.58974769836904
"fl1058",6,3.29896907216495,2.4789990179524,"Haspel-ok",1.90444165956941
"fl1059",4,3.83233532934132,2.68081793530383,"Haspel-ok",2.01205900760227
"fl106",6,3.08930008045052,2.11981593811829,"Haspel-ok",1.69636370386311
"fl1060",13,2.64868179031269,2.46168124844523,"Haspel-ok",1.63916140190296
"fl1061",7,3.07528029898559,2.84538370121467,"Haspel-ok",1.78630834919065
"fl1062",9,3.04011259676284,2.48177542900765,"Haspel-ok",1.88681008123313
"fl1063",10,2.73764258555133,2.21433733081089,"Haspel-ok",1.63153510554915
"fl1064",19,1.71418367954289,1.57664577550733,"Haspel-ok",0.806342811452857
"fl1065",17,2.3030787684926,1.96134422399507,"Haspel-ok",1.36881984482727
"fl1066",16,2.5185832968955,1.75729766518201,"Haspel-ok",1.56924408298028
"fl1067",15,3.44734715863184,2.69829753093291,"Haspel-ok",2.48032817184198
"fl1068",16,2.58301755644745,1.90599236174576,"Haspel-ok",1.63367811690566
"fl1069",15,2.92645751301918,1.99050810176876,"Haspel-ok",1.95947513920654
"fl107",6,2.94027565084227,2.61456041530557,"Haspel-ok",1.54845962424265
"fl1070",15,2.72426296705029,1.96854772407233,"Haspel-ok",1.75730065308008
"fl1071",12,3.13378429843492,2.09076049493691,"Haspel-ok",2.09724465135748
"fl1072",18,2.76576406633169,2.16276066758415,"Haspel-ok",1.84520081476825
"fl1073",8,2.98136645962733,2.77206896211929,"Haspel-ok",1.76923592683364
"fl1074",16,3.09037744453685,2.28029876297277,"Haspel-ok",2.14103670286081
"fl1075",21,2.60058844333411,2.02095440946463,"Haspel-ok",1.71291970999957
"fl1076",5,2.77456647398844,2.32486811748724,"Haspel-ok",1.23712220409372
"fl1077",16,2.31790744466801,1.73481116517305,"Haspel-ok",1.36856906957217
"fl1078",20,2.26296490309062,1.83004751186757,"Haspel-ok",1.36610548498342
"fl1079",16,1.83937410186812,1.6100608524803,"Haspel-ok",0.890039253466948
"fl108",13,2.58698125636266,2.05616992869163,"Haspel-ok",1.57746519294634
"fl1080",2,4.36363636363637,3.70665044227079,"Haspel-ok",0.827890199810046
"fl1081",13,3.14731167128078,2.63942036597074,"Haspel-ok",2.13761031461822
"fl1082",14,3.00861843823453,2.59094206303928,"Haspel-ok",2.02184741377062
"fl1083",15,2.61204746428841,2.04891938651549,"Haspel-ok",1.6450984109064
"fl1084",11,2.46892413201886,2.03594503998443,"Haspel-ok",1.4010072545314
"fl1085",17,2.82062582635522,2.23405398941818,"Haspel-ok",1.88636292343036
"fl1086",13,2.73050485897132,2.22885852038367,"Haspel-ok",1.72097921335321
"fl1087",12,2.55130665879226,1.88065485377501,"Haspel-ok",1.51495698066517
"fl1088",5,2.67657992565056,2.36946190403189,"Haspel-ok",1.14069642948314
"fl1089",18,2.63732238518948,2.3553009242707,"Haspel-ok",1.71675979243208
"fl109",2,5.81818181818182,4.55250905328505,"Haspel-ok",1.17642957776949
"fl1090",22,2.56246756135538,2.07597975383346,"Haspel-ok",1.68479653672167
"fl1091",20,2.98406942105945,2.37348471726008,"Haspel-ok",2.08706478618606
"fl1092",3,2.42424242424242,2.42424242424242,"Haspel-ok",0.317735951444266
"fl1093",6,2.03389830508475,1.90265930757652,"Haspel-ok",0.648589598530518
"fl1094",6,3.26283987915408,2.44079356508067,"Haspel-ok",1.86858562330469
