"LANG","complexityoflanguages","costoflanguages","RSAcostoflanguages","type"
"fl1",5,4.59770114942529,3.00686433988819,"Haspel-ok"
"fl10",9,2.4411951684679,1.93861553715719,"Haspel-ok"
"fl100",19,2.6012343820563,2.14587952294382,"Haspel-ok"
"fl1000",5,3.47826086956522,2.40379127643272,"Haspel-ok"
"fl1001",6,3.95061728395062,2.77792063534611,"Haspel-ok"
"fl1002",13,2.85431119920714,2.22010264458651,"Haspel-ok"
"fl1003",16,2.3890997324706,1.88888022293733,"Haspel-ok"
"fl1004",21,2.42781875658588,1.92844226922428,"Haspel-ok"
"fl1005",4,5.87755102040816,5.05393441918432,"Haspel-ok"
"fl1006",2,4.36363636363637,3.70665044227079,"Haspel-ok"
"fl1007",13,1.63265306122449,1.48462206776716,"Haspel-ok"
"fl1008",3,3.10679611650485,2.70519520442668,"Haspel-ok"
"fl1009",14,3.05138619106481,2.63265230428784,"Haspel-ok"
"fl101",15,3.10847274689693,2.65990861757894,"Haspel-ok"
"fl1010",3,6.07594936708861,5.03786369071343,"Haspel-ok"
"fl1011",14,2.86175630356478,2.41079101584104,"Haspel-ok"
"fl1012",13,2.74394601032156,2.43732364161973,"Haspel-ok"
"fl1013",4,5.87755102040816,5.05393441918432,"Haspel-ok"
"fl1014",3,4.32108027006752,3.73418031780742,"Haspel-ok"
"fl1015",12,2.76590636254502,2.4848315383518,"Haspel-ok"
"fl1016",19,2.21351164399354,1.90747208891946,"Haspel-ok"
"fl1017",14,2.65989378896329,2.51187391978662,"Haspel-ok"
"fl1018",13,3.57320099255583,3.06389488543764,"Haspel-ok"
"fl1019",20,2.71442035815269,1.8136862132837,"Haspel-ok"
"fl102",16,3.06897194767829,2.55305201143864,"Haspel-ok"
"fl1020",12,3.01570680628272,2.43028458310631,"Haspel-ok"
"fl1021",16,2.53677442085792,2.1358002563031,"Haspel-ok"
"fl1022",1,12.3076923076923,12.3076923076923,"Haspel-ok"
"fl1023",15,3.49539308001173,3.10225057270416,"Haspel-ok"
"fl1024",3,5.54913294797688,4.59165053912082,"Haspel-ok"
"fl1025",11,4.22442244224423,3.37525841401506,"Haspel-ok"
"fl1026",2,5.20325203252033,4.00225963168004,"Haspel-ok"
"fl1027",15,2.5385632437197,2.18989147014585,"Haspel-ok"
"fl1028",10,3.39355852317361,3.2505222223148,"Haspel-ok"
"fl1029",17,2.73050485897132,2.43441023968753,"Haspel-ok"
"fl103",3,2.75862068965517,2.35690559861359,"Haspel-ok"
"fl1030",12,3.40476509485266,2.59388810845824,"Haspel-ok"
"fl1031",5,3.67393800229621,3.12798250457709,"Haspel-ok"
"fl1032",18,2.68364652896413,2.41223819275573,"Haspel-ok"
"fl1033",2,6.95652173913043,5.49663928304705,"Haspel-ok"
"fl1034",18,2.21035464168079,1.66806676320656,"Haspel-ok"
"fl1035",13,2.34623217922607,1.89255320172235,"Haspel-ok"
"fl1036",6,3.05489260143198,1.88217881651001,"Haspel-ok"
"fl1037",5,3.26530612244898,2.92127897738303,"Haspel-ok"
"fl1038",4,5.87755102040816,5.05393441918432,"Haspel-ok"
"fl1039",12,2.43654822335025,2.34388388485112,"Haspel-ok"
"fl104",14,2.52686992761571,2.10974241715191,"Haspel-ok"
"fl1040",12,2.86282306163022,2.20040899820498,"Haspel-ok"
"fl1041",17,2.22634508348794,1.71971982797448,"Haspel-ok"
"fl1042",8,3.29456625357483,2.96726436308079,"Haspel-ok"
"fl1043",14,3.19715808170515,3.08546639123767,"Haspel-ok"
"fl1044",6,2.70422535211268,2.62070433021015,"Haspel-ok"
"fl1045",12,2.74568999761659,2.06546789076716,"Haspel-ok"
"fl1046",10,3.90243902439025,3.60139800532048,"Haspel-ok"
"fl1047",2,4.70588235294118,3.64584109017798,"Haspel-ok"
"fl1048",4,3.3256351039261,2.75541851818264,"Haspel-ok"
"fl1049",4,4.89795918367347,3.59495605655331,"Haspel-ok"
"fl105",3,3.05732484076433,3.05732484076433,"Haspel-ok"
"fl1050",15,3.11101509212679,2.66198423619905,"Haspel-ok"
"fl1051",7,3.5538005923001,2.51027848327539,"Haspel-ok"
"fl1052",15,2.57114161365919,1.83266019569602,"Haspel-ok"
"fl1053",9,2.83907007311263,2.27223267600067,"Haspel-ok"
"fl1054",9,3.36284908047096,2.46679342511037,"Haspel-ok"
