LANG,complexityoflanguages,costoflanguages
lang1089gen1mutoff100,3,2.2018348623853217
lang1089gen1mutoff100gen2mutoff21,3,2.2018348623853217
lang1089gen1mutoff100gen2mutoff21gen4rcoff242,3,2.2018348623853217
lang1089gen1mutoff100gen4mutoff1,3,2.2018348623853217
lang1089gen1mutoff100gen4mutoff1gen7rcoff18,3,2.2018348623853217
lang1089gen1mutoff112,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff0,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff0gen6rcoff324,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff0gen6rcoff324gen17rcoff6,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff14,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff14gen3mutoff1,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff14gen4mutoff0,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff14gen4mutoff0gen12rcoff138,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff14gen4mutoff0gen5mutoff0,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff14gen4mutoff0gen5mutoff0gen6rcoff767,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff14gen4mutoff0gen5mutoff0gen6rcoff767gen17rcoff21,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff14gen4mutoff0gen5mutoff0gen7rcoff43,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff14gen4mutoff0gen5mutoff0gen7rcoff43gen9rcoff313,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff14gen4mutoff0gen5mutoff0gen7rcoff43gen9rcoff313gen10rcoff116,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff14gen4mutoff0gen6rcoff303,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff14gen4mutoff0gen8rcoff537,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff14gen7rcoff36,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff19,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff19gen3mutoff1,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff19gen4mutoff1,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff25,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff25gen3mutoff0,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff25gen3mutoff0gen4mutoff1,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff25gen3mutoff0gen4mutoff1gen5rcoff254,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff25gen3mutoff0gen4mutoff1gen5rcoff254gen6rcoff378,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff25gen4rcoff20,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff25gen4rcoff20gen6rcoff539,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff25gen4rcoff7,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff25gen4rcoff7gen7rcoff259,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff25gen4rcoff7gen7rcoff259gen9rcoff286,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff25gen8rcoff264,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff28,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff28gen4rcoff292,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff28gen4rcoff292gen6rcoff388,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff28gen4rcoff292gen6rcoff388gen11rcoff125,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff28gen4rcoff292gen8rcoff172,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff28gen5rcoff236,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff28gen6rcoff223,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff7,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff7gen3mutoff3,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff7gen3mutoff3gen5rcoff16,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff7gen3mutoff3gen5rcoff16gen11rcoff74,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff7gen3mutoff3gen5rcoff16gen8rcoff247,1,4.776119402985076
lang1089gen1mutoff112gen2mutoff7gen3mutoff3gen5rcoff16gen9rcoff15,1,4.776119402985076
lang1089gen1mutoff112gen4mutoff1,1,4.776119402985076
lang1089gen1mutoff120,1,4.776119402985076
lang1089gen1mutoff120gen11rcoff117,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff0,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff0gen3mutoff4,2,2.5363276089828277
lang1089gen1mutoff120gen2mutoff0gen3mutoff4gen4mutoff0,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff0gen3mutoff4gen5mutoff0,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff0gen3mutoff4gen5mutoff0gen27rcoff1,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff0gen3mutoff4gen6rcoff182,2,2.5363276089828277
lang1089gen1mutoff120gen2mutoff0gen3mutoff4gen6rcoff182gen10rcoff6,2,2.5363276089828277
lang1089gen1mutoff120gen2mutoff0gen5mutoff0,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff16,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff16gen4mutoff1,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff23,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff30,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff30gen12rcoff45,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff30gen3mutoff0,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff30gen3mutoff0gen6rcoff17,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff30gen3rcoff169,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff30gen3rcoff169gen4mutoff0,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff30gen3rcoff169gen4mutoff1,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff30gen3rcoff169gen4mutoff1gen8rcoff407,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff30gen3rcoff169gen4rcoff194,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff30gen3rcoff169gen4rcoff194gen6rcoff555,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff30gen3rcoff169gen4rcoff194gen6rcoff555gen8rcoff57,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff5,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff5gen3mutoff1,1,4.776119402985076
lang1089gen1mutoff120gen2mutoff5gen3mutoff1gen4mutoff0,1,4.776119402985076
