"LANG","complexityoflanguages","costoflanguages","type","minimal"
"fl5001",9,3.49383138844368,"Not Haspel-ok",2.29698402376681
"fl5002",20,2.2773789502802,"Not Haspel-ok",1.27720573327649
"fl5003",15,2.80945079920054,"Not Haspel-ok",1.75611703639544
"fl5004",14,2.41526179830431,"Not Haspel-ok",1.34699451459882
"fl5005",9,2.02658513176564,"Not Haspel-ok",0.830899223534373
"fl5006",7,3.13232420687827,"Not Haspel-ok",1.83204746221236
"fl5007",22,2.04348908009429,"Not Haspel-ok",1.05964566990274
"fl5008",18,2.75135339190644,"Not Haspel-ok",1.73343051003416
"fl5009",26,2.51719764062533,"Not Haspel-ok",1.55407507597594
"fl5010",17,2.69057212665253,"Not Haspel-ok",1.66249595551671
"fl5011",14,2.92087589943738,"Not Haspel-ok",1.85259727663794
"fl5012",26,2.28023060584472,"Not Haspel-ok",1.31717618849115
"fl5013",20,2.65021248025196,"Not Haspel-ok",1.65002145609775
"fl5014",22,2.62437897654327,"Not Haspel-ok",1.64002697900666
"fl5015",18,2.69512084848996,"Not Haspel-ok",1.67719876835825
"fl5016",12,2.48242753871803,"Not Haspel-ok",1.37594985978911
"fl5017",3,4.10282579575174,"Not Haspel-ok",1.87840900348644
"fl5018",8,1.70119995784339,"Not Haspel-ok",0.461486629330563
"fl5019",23,2.28267200411813,"Not Haspel-ok",1.30541263727157
"fl5020",11,2.7952449727808,"Not Haspel-ok",1.66415872827495
"fl5021",24,2.1030910185738,"Not Haspel-ok",1.13417265836603
"fl5022",14,2.30595088027816,"Not Haspel-ok",1.23768726597041
"fl5023",2,4.28164000080908,"Not Haspel-ok",1.02912226785426
"fl5024",17,2.28994832465515,"Not Haspel-ok",1.26211332676975
"fl5025",15,2.0182182782139,"Not Haspel-ok",0.964886623558185
"fl5026",17,2.50541268409771,"Not Haspel-ok",1.47743172715317
"fl5030",6,2.96509942389891,"Not Haspel-ok",1.58635232458396
"fl5031",17,1.72003361886524,"Not Haspel-ok",0.693022200112136
"fl5033",18,2.30364119546431,"Not Haspel-ok",1.28572664047098
"fl5034",20,2.25704697218952,"Not Haspel-ok",1.25687503003601
"fl5035",3,5.70265536990581,"Not Haspel-ok",2.31968476348324
"fl5036",2,4.84323338273858,"Not Haspel-ok",1.17690825534155
"fl5037",5,5.19024788330103,"Not Haspel-ok",3.67405604667538
"fl5038",22,1.84235640274918,"Not Haspel-ok",0.858849380747789
"fl5039",14,2.53184451411038,"Not Haspel-ok",1.46357392091894
"fl5040",15,2.96865977675521,"Not Haspel-ok",1.91532580025335
"fl5041",13,2.05751121646193,"Not Haspel-ok",0.97150761713793
"fl5042",14,2.28353774039458,"Not Haspel-ok",1.21527496000986
"fl5043",8,2.00273367482938,"Not Haspel-ok",0.762444248085978
"fl5044",18,2.15172940244962,"Not Haspel-ok",1.13381916701447
