"LANG","complexityoflanguages","costoflanguages","type","minimal"
"fl1",5,3.00686433988819,"Haspel-ok",1.51499266435353
"fl10",11,1.93861553715719,"Haspel-ok",0.807780508288136
"fl100",21,2.14587952294382,"Haspel-ok",1.15555729485291
"fl1000",5,2.40379127643272,"Haspel-ok",0.917453449498925
"fl1001",6,2.77792063534611,"Haspel-ok",1.39997548177999
"fl1002",13,2.22010264458651,"Haspel-ok",1.13409904511398
"fl1003",17,1.88888022293733,"Haspel-ok",0.861511303606972
"fl1004",23,1.92844226922428,"Haspel-ok",0.952141603850612
"fl1005",5,5.05393441918432,"Haspel-ok",3.53952654662204
"fl1006",2,3.70665044227079,"Haspel-ok",0.811486212647542
"fl1007",13,1.48462206776716,"Haspel-ok",0.398618469932137
"fl1008",3,2.70519520442668,"Haspel-ok",0.746256911413291
"fl1009",16,2.63265230428784,"Haspel-ok",1.59308636120332
"fl101",17,2.65990861757894,"Haspel-ok",1.63184672201892
"fl1010",3,5.03786369071343,"Haspel-ok",2.19507681531224
"fl1011",16,2.41079101584104,"Haspel-ok",1.37125080313447
"fl1012",15,2.43732364161973,"Haspel-ok",1.38399057005868
"fl1013",5,5.05393441918432,"Haspel-ok",3.53952654662204
"fl1014",3,3.73418031780742,"Haspel-ok",1.63858114010983
"fl1015",13,2.4848315383518,"Haspel-ok",1.39882793871131
"fl1016",22,1.90747208891946,"Haspel-ok",0.923840142558429
"fl1017",16,2.51187391978662,"Haspel-ok",1.4723210223629
"fl1018",15,3.06389488543764,"Haspel-ok",2.01056079728451
"fl1019",22,1.8136862132837,"Haspel-ok",0.8302404024143
"fl102",18,2.55305201143864,"Haspel-ok",1.53513221851687
"fl1020",15,2.43028458310631,"Haspel-ok",1.37695152822117
"fl1021",17,2.1358002563031,"Haspel-ok",1.10810450006131
"fl1022",1,12.3076923076923,"Haspel-ok",0.721659739300894
"fl1023",18,3.10225057270416,"Haspel-ok",2.08432366509986
"fl1024",4,4.59165053912082,"Haspel-ok",2.86708858747393
"fl1025",13,3.37525841401506,"Haspel-ok",2.28901639782454
"fl1026",2,4.00225963168004,"Haspel-ok",0.933737728793209
"fl1027",17,2.18989147014585,"Haspel-ok",1.16214264859041
"fl1028",12,3.2505222223148,"Haspel-ok",2.14357730455956
"fl1029",18,2.43441023968753,"Haspel-ok",1.41649270836507
"fl103",3,2.35690559861359,"Haspel-ok",0.424524593908266
"fl1030",13,2.59388810845824,"Haspel-ok",1.50788450876571
"fl1031",6,3.12798250457709,"Haspel-ok",1.7485316580041
