LANG,complexityoflanguages,RSAcostoflanguages,new_col
lang1056,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1056gen1mutoff105,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1056gen1mutoff105gen2mutoff6,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1056gen1mutoff105gen2mutoff6gen5rcoff72,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1056gen1mutoff105gen2mutoff6gen5rcoff72gen13rcoff137,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1056gen1mutoff114,1,4.026879252055598,"(4.026879252055598, 1)"
lang1056gen1mutoff114gen4mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
lang1056gen1mutoff114gen4mutoff0gen5mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
lang1056gen1mutoff114gen5mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
lang1056gen1mutoff114gen5mutoff0gen6rcoff816,1,4.026879252055598,"(4.026879252055598, 1)"
lang1056gen1mutoff133,4,1.5870840904351977,"(1.5870840904351977, 4)"
lang1056gen1mutoff133gen2mutoff5,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1056gen1mutoff133gen2mutoff5gen12rcoff194,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1056gen1mutoff133gen3mutoff0gen4rcoff289,4,1.5870840904351977,"(1.5870840904351977, 4)"
lang1056gen1mutoff133gen5mutoff0,4,1.5870840904351977,"(1.5870840904351977, 4)"
lang1056gen1mutoff133gen9rcoff159,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1056gen1mutoff133gen9rcoff159gen13rcoff73,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1056gen1mutoff24,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1056gen1mutoff24gen2mutoff3,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1056gen1mutoff24gen2mutoff7,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1056gen1mutoff24gen2mutoff7gen3mutoff1,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1056gen1mutoff24gen2mutoff7gen3mutoff1gen7rcoff426,4,1.5870840904351977,"(1.5870840904351977, 4)"
lang1056gen1mutoff24gen2mutoff7gen3mutoff1gen7rcoff426gen8rcoff431,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1056gen1mutoff32,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1056gen1mutoff61,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1056gen1mutoff61gen2mutoff9,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1056gen1mutoff61gen2mutoff9gen3mutoff1,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1056gen1mutoff65,1,4.026879252055598,"(4.026879252055598, 1)"
lang1056gen1mutoff65gen2mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
lang1056gen1mutoff65gen2mutoff3,1,4.026879252055598,"(4.026879252055598, 1)"
lang1056gen1mutoff65gen2mutoff3gen3mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
lang1056gen1mutoff65gen2mutoff3gen3mutoff0gen12rcoff214,1,4.026879252055598,"(4.026879252055598, 1)"
lang1056gen1mutoff65gen2mutoff3gen3mutoff0gen4mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
lang1056gen1mutoff65gen2mutoff3gen3mutoff0gen6rcoff518,1,4.026879252055598,"(4.026879252055598, 1)"
lang1056gen1mutoff65gen2mutoff3gen3mutoff0gen7rcoff331,1,4.026879252055598,"(4.026879252055598, 1)"
lang1056gen1mutoff65gen2mutoff3gen3mutoff1,1,4.026879252055598,"(4.026879252055598, 1)"
lang1056gen1mutoff65gen2mutoff3gen3mutoff1gen4mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
lang1056gen1mutoff65gen2mutoff3gen3mutoff1gen4mutoff0gen7rcoff368,1,4.026879252055598,"(4.026879252055598, 1)"
lang1056gen1mutoff65gen2mutoff3gen3mutoff1gen4mutoff0gen7rcoff368gen15rcoff11,1,4.026879252055598,"(4.026879252055598, 1)"
lang1056gen1mutoff65gen2mutoff3gen3mutoff1gen4mutoff0gen7rcoff368gen8rcoff291,1,4.026879252055598,"(4.026879252055598, 1)"
lang1056gen1mutoff65gen2mutoff3gen3mutoff1gen9rcoff300,1,4.026879252055598,"(4.026879252055598, 1)"
lang1056gen1mutoff65gen2mutoff3gen3mutoff1gen9rcoff300gen14rcoff5,1,4.026879252055598,"(4.026879252055598, 1)"
lang1056gen1mutoff65gen2mutoff9,1,4.026879252055598,"(4.026879252055598, 1)"
lang1056gen1mutoff65gen2rcoff35,1,4.026879252055598,"(4.026879252055598, 1)"
lang1056gen1mutoff65gen2rcoff35gen8rcoff233,1,4.026879252055598,"(4.026879252055598, 1)"
lang1056gen1mutoff65gen2rcoff35gen8rcoff233gen11rcoff176,1,4.026879252055598,"(4.026879252055598, 1)"
lang1056gen1mutoff65gen3rcoff10,1,4.026879252055598,"(4.026879252055598, 1)"
lang1056gen1mutoff65gen4rcoff109,1,4.026879252055598,"(4.026879252055598, 1)"
lang1056gen1mutoff65gen4rcoff109gen5rcoff10,1,4.026879252055598,"(4.026879252055598, 1)"
lang1056gen1mutoff65gen4rcoff379,1,4.026879252055598,"(4.026879252055598, 1)"
lang1056gen1mutoff65gen4rcoff379gen5mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
lang1056gen1mutoff65gen4rcoff379gen5mutoff0gen13rcoff169,1,4.026879252055598,"(4.026879252055598, 1)"
lang1056gen1mutoff65gen4rcoff379gen5mutoff0gen7rcoff571,1,4.026879252055598,"(4.026879252055598, 1)"
lang1056gen1mutoff65gen4rcoff379gen5mutoff0gen7rcoff571gen9rcoff308,1,4.026879252055598,"(4.026879252055598, 1)"
lang1056gen1mutoff65gen4rcoff379gen5mutoff0gen7rcoff571gen9rcoff308gen12rcoff7,1,4.026879252055598,"(4.026879252055598, 1)"
lang1056gen1mutoff66,4,1.5870840904351977,"(1.5870840904351977, 4)"
lang1056gen1mutoff66gen2mutoff4,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1056gen1mutoff66gen2mutoff4gen5mutoff0gen11rcoff20,4,1.5870840904351977,"(1.5870840904351977, 4)"
lang1056gen1mutoff66gen2mutoff4gen6rcoff764,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1056gen1mutoff66gen2mutoff6,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1056gen1mutoff66gen2mutoff6gen4rcoff45,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1056gen1mutoff66gen2mutoff6gen7rcoff562,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1056gen1mutoff66gen2mutoff6gen7rcoff562gen10rcoff219,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1056gen1mutoff66gen2rcoff1,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1056gen1mutoff66gen2rcoff1gen3mutoff2,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1056gen1mutoff66gen5rcoff59,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1056gen1mutoff77,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1056gen1mutoff77gen2mutoff4,3,1.9826992726510833,"(1.9826992726510833, 3)"
lang1056gen1mutoff77gen6rcoff250,3,1.9826992726510833,"(1.9826992726510833, 3)"
