"LANG","complexityoflanguages","costoflanguages","RSAcostoflanguages","type"
"BASQUE",7,1.69611307420495,1.49202015026817,"natural"
"BULGARIAN",5,2.33009708737864,2.04404189053382,"natural"
"CATALAN",5,2.09150326797386,1.77770928140167,"natural"
"CHINESE",6,1.49068322981367,1.49068322981367,"natural"
"DUTCH",4,2.30769230769231,2.02377656586399,"natural"
"ENGLISH",4,1.98347107438017,1.61947605186557,"natural"
"FINNISH",7,1.67539267015707,1.55120747399965,"natural"
"fl100",4,7.43034055727554,5.89259245182623,"artificial"
"fl1002",4,7.43034055727554,5.89259245182623,"artificial"
"fl1003",6,3.56877323420074,2.81793360090681,"artificial"
"fl1022",4,5.31855955678671,3.97732228521588,"artificial"
"fl103",6,2.97674418604651,2.26430506582441,"artificial"
"fl1035",11,2.3558282208589,1.76204389111464,"artificial"
"fl1046",3,5.54272517321016,4.26329716313512,"artificial"
"fl1065",1,5.4421768707483,4.28164000080908,"artificial"
"fl1072",4,4.18118466898955,3.07253407888663,"artificial"
"fl1095",10,2.39401496259352,1.79057979604581,"artificial"
"fl110",6,2.72856466129796,2.0804673074772,"artificial"
"fl1109",6,2.49027237354086,2.07698013681695,"artificial"
"fl112",2,6,4.52119309262167,"artificial"
"fl1168",12,3.0728194185116,2.33522270796656,"artificial"
"fl1182",7,2.93577981651376,2.15999854545553,"artificial"
"fl1186",10,2.15488215488216,1.62197672482368,"artificial"
"fl1206",6,2.66666666666667,2.15102291949926,"artificial"
"fl1208",2,6.77966101694915,4.84323338273858,"artificial"
"fl1217",2,6.77966101694915,4.84323338273858,"artificial"
"fl1230",13,2.80565026790063,2.15244670209151,"artificial"
"fl1288",6,3.29802462066991,2.61087770707021,"artificial"
"fl1340",1,5.4421768707483,4.28164000080908,"artificial"
"fl1346",9,3.40425531914894,2.29286911552254,"artificial"
"fl1351",4,3.77358490566038,3.17656592334704,"artificial"
"fl1369",4,4.18300653594771,3.14026159020733,"artificial"
"fl1383",4,3.32409972299169,2.29085711989806,"artificial"
"fl1403",7,4.0463645943098,2.89968059641764,"artificial"
"fl1418",7,2.94027565084227,2.26613401726968,"artificial"
"fl1422",4,4.48877805486284,3.16836874389533,"artificial"
"fl1423",10,3.08930008045052,2.25764303927671,"artificial"
"fl1441",6,5.03276539973788,3.85093785760486,"artificial"
"fl1445",5,3.2625318606627,2.33096334946741,"artificial"
"fl1457",5,4.87309644670051,3.03982001667391,"artificial"
"fl1485",9,3.42144342144342,3.00822649820541,"artificial"
"fl1496",10,2.3841059602649,1.80553526113467,"artificial"
"fl1515",7,2.94027565084227,2.61456041530557,"artificial"
"fl1519",9,3.1858407079646,2.52713870986827,"artificial"
"fl1521",7,3.51005484460695,2.40350577564885,"artificial"
"fl1564",8,3.46674691543786,2.31896505785031,"artificial"
"fl157",4,5.35714285714286,3.3383897144372,"artificial"
"fl1645",2,6.77966101694915,4.84323338273858,"artificial"
