"LANG","complexityoflanguages","costoflanguages","type","minimal"
"fl100",4,5.89259245182623,"artificial",3.33701116161266
"fl1002",4,5.89259245182623,"artificial",3.33701116161266
"fl1003",6,2.81793360090681,"artificial",1.43981762338688
"fl1022",4,3.97732228521588,"artificial",2.27900681908598
"fl103",6,2.26430506582441,"artificial",0.888527872155844
"fl1035",11,1.76204389111464,"artificial",0.631232936746272
"fl1046",3,4.26329716313512,"artificial",1.95477154076463
"fl1065",1,4.28164000080908,"artificial",0.070596952077156
"fl1072",4,3.07253407888663,"artificial",1.40220554065417
"fl1095",10,1.79057979604581,"artificial",0.630946997502476
"fl110",6,2.0804673074772,"artificial",0.705456134278095
"fl1109",6,2.07698013681695,"artificial",0.701980267801937
"fl112",2,4.52119309262167,"artificial",1.09831873752526
"fl1168",12,2.33522270796656,"artificial",1.22880271647011
"fl1182",7,2.15999854545553,"artificial",0.861870774649325
"fl1186",10,1.62197672482368,"artificial",0.462482115342095
"fl1206",6,2.15102291949926,"artificial",0.775691638081007
"fl1208",2,4.84323338273858,"artificial",1.17690825534155
"fl1217",2,4.84323338273858,"artificial",1.17690825534155
"fl1230",13,2.15244670209151,"artificial",1.06644310267528
"fl1288",6,2.61087770707021,"artificial",1.23364193566437
"fl1340",1,4.28164000080908,"artificial",0.070596952077156
"fl1346",9,2.29286911552254,"artificial",1.09704492941756
"fl1351",4,3.17656592334704,"artificial",1.50342114842453
"fl1369",4,3.14026159020733,"artificial",1.46810845599044
"fl1383",4,2.29085711989806,"artificial",0.639423332898081
"fl1403",7,2.89968059641764,"artificial",1.59991412378971
"fl1418",7,2.26613401726968,"artificial",0.967798504091851
"fl1422",4,3.16836874389533,"artificial",1.49544912363292
"fl1423",10,2.25764303927671,"artificial",1.09748550865517
"fl1441",6,3.85093785760486,"artificial",2.46826188298246
"fl1445",5,2.33096334946741,"artificial",0.845268525125178
"fl1457",5,3.03982001667391,"artificial",1.54763485843277
"fl1485",9,3.00822649820541,"artificial",1.81177489937971
"fl1496",10,1.80553526113467,"artificial",0.645873905950954
"fl1515",7,2.61456041530557,"artificial",1.31542990066597
"fl1519",9,2.52713870986827,"artificial",1.33110828963401
"fl1521",7,2.40350577564885,"artificial",1.10483117285885
"fl1564",8,2.31896505785031,"artificial",1.07831220316366
"fl157",4,3.3383897144372,"artificial",1.66068884945435
"fl1645",2,4.84323338273858,"artificial",1.17690825534155
"fl1656",6,2.07736210607675,"artificial",0.702360993386013
"fl1676",1,4.28164000080908,"artificial",0.070596952077156
"fl1679",3,4.26329716313512,"artificial",1.95477154076463
"fl1716",3,2.98593150073614,"artificial",1.00129169545918
"fl1750",6,2.73516950597033,"artificial",1.35741797063556
"fl1821",13,1.70543045707836,"artificial",0.61942685834324
"fl1827",4,3.09954689746859,"artificial",1.42849449708754
"fl183",4,3.29785377770023,"artificial",1.62131527562927
"fl1858",1,4.27822439706397,"artificial",0.0696991678177844
"fl1875",4,5.89259245182623,"artificial",3.33701116161266
"fl1886",3,4.26329716313512,"artificial",1.95477154076463
"fl1888",2,4.28164000080908,"artificial",1.02912226785426
"fl1909",11,2.01160358848594,"artificial",0.880761427648386
"fl1929",7,3.01077903209095,"artificial",1.71075158638558
"fl193",5,3.06890995078735,"artificial",1.5764465510833
"fl1957",1,4.27822439706397,"artificial",0.0696991678177844
"fl1959",2,4.28164000080908,"artificial",1.02912226785426
"fl1967",6,2.11513989866814,"artificial",0.739969464381721
"fl1993",7,3.0212793149722,"artificial",1.72122894431245
"fl2",1,4.28164000080908,"artificial",0.070596952077156
"fl2031",6,2.61087770707021,"artificial",1.23364193566437
"fl2032",5,3.55703431494987,"artificial",2.05974514336665
"fl2051",4,2.26928900115651,"artificial",0.618326757218288
"fl2058",1,4.28164000080908,"artificial",0.070596952077156
"fl206",2,4.52119309262167,"artificial",1.09831873752526
"fl2098",11,2.77786741374168,"artificial",1.64679378973356
"fl2102",6,1.91653775147533,"artificial",0.542202888051896
"fl2136",1,4.27822439706397,"artificial",0.0696991678177844
"fl2154",7,2.27252838968571,"artificial",0.974174973064961
"fl2162",6,2.51039568918845,"artificial",1.13357897914906
"fl2206",4,2.70296936428072,"artificial",1.04202674652966
"fl2220",1,4.28164000080908,"artificial",0.070596952077156
"fl2231",7,2.4237787252751,"artificial",1.12506108385717
"fl2259",6,3.26334718015989,"artificial",1.88330310379348
"fl2265",6,2.17236478657657,"artificial",0.796944693301965
"fl2278",2,4.28164000080908,"artificial",1.02912226785426
"fl2289",9,2.39939663993862,"artificial",1.20353426676287
"fl2290",7,1.76557927522439,"artificial",0.468292607919611
"fl2306",9,2.49087082646038,"artificial",1.29488483815695
"fl2349",5,3.27063664741362,"artificial",1.77621339007268
"fl2356",1,4.27822439706397,"artificial",0.0696991678177844
"fl2370",4,2.69524108891375,"artificial",1.03448765984028
"fl2394",6,2.2750080869509,"artificial",0.899180523137006
"fl2397",2,4.28164000080908,"artificial",1.02912226785426
"fl2402",9,1.84866722079741,"artificial",0.653136525081436
"fl2406",7,2.18110037256823,"artificial",0.882934979766703
"fl2438",4,5.89259245182623,"artificial",3.33701116161266
"fl2453",2,4.52119309262167,"artificial",1.09831873752526
"fl2454",7,2.15482177879988,"artificial",0.856703520395533
"fl2474",9,2.25553784489872,"artificial",1.05972885730281
"fl2478",2,4.28164000080908,"artificial",1.02912226785426
"fl2491",5,2.0593373115139,"artificial",0.576014746932139
"fl2511",6,2.30940365384653,"artificial",0.93342202142578
"fl2543",7,2.15799294943394,"artificial",0.859868850367647
"fl2554",8,1.34430334094466,"artificial",0.104926108856418
"fl2555",1,4.28164000080908,"artificial",0.070596952077156
"fl2558",11,2.17382305274052,"artificial",1.04296861529842
"fl2585",4,5.89259245182623,"artificial",3.33701116161266
"fl2595",2,4.28164000080908,"artificial",1.02912226785426
"fl2646",3,4.26329716313512,"artificial",1.95477154076463
"fl2676",6,2.26430506582441,"artificial",0.888527872155844
"fl2680",2,4.28164000080908,"artificial",1.02912226785426
"fl2721",4,2.16674388328416,"artificial",0.518009781327111
"fl2724",6,1.85030235434336,"artificial",0.47618880453523
"fl2728",9,1.92275341558083,"artificial",0.727148863507331
"fl2734",6,3.01171609788367,"artificial",1.63277753716459
"fl2741",4,2.72199410306966,"artificial",1.06059123130205
"fl2753",4,5.89259245182623,"artificial",3.33701116161266
"fl276",4,5.89259245182623,"artificial",3.33701116161266
"fl2775",1,4.28164000080908,"artificial",0.070596952077156
"fl2804",2,4.84323338273858,"artificial",1.17690825534155
"fl2809",9,2.3454132242272,"artificial",1.14956931820889
"fl2814",8,2.95483174924104,"artificial",1.71332611693188
"fl2816",2,4.52119309262167,"artificial",1.09831873752526
"fl2825",6,2.28240484851148,"artificial",0.906543167721998
"fl2846",7,2.66725801298101,"artificial",1.36800062450082
"fl2866",13,2.33522270796656,"artificial",1.24921910841224
"fl2919",11,1.9519206744741,"artificial",0.821084251007287
"fl2923",9,2.30788737548461,"artificial",1.11205736283401
"fl2944",6,3.23511967491949,"artificial",1.85519932995961
"fl2974",3,4.26329716313512,"artificial",1.95477154076463
"fl2984",7,3.01077903209095,"artificial",1.71075158638558
"fl3067",2,4.84323338273858,"artificial",1.17690825534155
"fl3085",3,3.13830705447609,"artificial",1.13743801923682
"fl3088",1,4.27822439706397,"artificial",0.0696991678177844
"fl3102",3,4.26329716313512,"artificial",1.95477154076463
"fl3111",3,4.26329716313512,"artificial",1.95477154076463
"fl3123",5,2.26928900115651,"artificial",0.784138892045378
"fl3128",1,4.27822439706397,"artificial",0.0696991678177844
"fl3131",4,3.27010128230361,"artificial",1.59435089733762
"fl3145",1,4.27822439706397,"artificial",0.0696991678177844
"fl3161",5,2.77485112448227,"artificial",1.28515753442197
"fl3169",9,2.49148472304651,"artificial",1.29549796197003
"fl3172",12,1.67521245964097,"artificial",0.568793223043942
"fl320",4,2.69524108891375,"artificial",1.03448765984028
"fl3207",8,2.43403794597507,"artificial",1.19320366247188
"fl322",6,3.58274433341457,"artificial",2.2012860920285
"fl3239",3,4.26329716313512,"artificial",1.95477154076463
