"LANG","ITEM","skflavor","suflavor","nsflavor","npiflavor","fciflavor","nqflavor","Haspelmath","type"
"fl1","fl1-1",0,1,0,1,1,0,"Haspel-ok","Haspel-ok"
"fl1","fl1-2",0,1,1,1,1,1,"Haspel-ok","Haspel-ok"
"fl2","fl2-1",0,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"fl2","fl2-2",0,1,1,1,0,1,"Haspel-ok","Haspel-ok"
"fl2","fl2-3",0,0,1,0,0,0,"Haspel-ok","Haspel-ok"
"fl2","fl2-4",0,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl2","fl2-5",0,0,1,1,0,0,"Haspel-ok","Haspel-ok"
"fl2","fl2-6",0,1,1,0,0,1,"Haspel-ok","Haspel-ok"
"fl3","fl3-1",0,0,1,1,0,0,"Haspel-ok","Haspel-ok"
"fl3","fl3-2",0,0,1,0,1,1,"Haspel-ok","Haspel-ok"
"fl3","fl3-3",0,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl4","fl4-1",0,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl4","fl4-2",0,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"fl4","fl4-3",0,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"fl4","fl4-4",0,1,1,1,0,1,"Haspel-ok","Haspel-ok"
"fl5","fl5-1",0,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"fl5","fl5-2",0,1,1,0,1,1,"Haspel-ok","Haspel-ok"
"fl5","fl5-3",0,0,1,1,0,1,"Haspel-ok","Haspel-ok"
"fl5","fl5-4",0,0,1,1,0,0,"Haspel-ok","Haspel-ok"
"fl5","fl5-5",0,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"fl5","fl5-6",0,0,1,1,0,0,"Haspel-ok","Haspel-ok"
"fl5","fl5-7",0,0,0,0,0,1,"Haspel-ok","Haspel-ok"
"fl6","fl6-1",0,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"fl6","fl6-2",0,1,0,0,1,1,"Haspel-ok","Haspel-ok"
"fl7","fl7-1",0,1,1,0,0,1,"Haspel-ok","Haspel-ok"
"fl7","fl7-2",0,1,1,1,1,1,"Haspel-ok","Haspel-ok"
"fl7","fl7-3",0,1,0,0,0,1,"Haspel-ok","Haspel-ok"
