"LANG","complexityoflanguages","costoflanguages","type","minimal"
"BASQUE",7,1.49202015026817,"natural",0.195329203311814
"BULGARIAN",5,2.04404189053382,"natural",0.560839882527466
"CATALAN",5,1.77770928140167,"natural",0.29673463209537
"CHINESE",6,1.49068322981367,"natural",0.117997779089741
"DUTCH",4,2.02377656586399,"natural",0.378053485040919
"ENGLISH",4,1.61947605186557,"natural",0.0181655520958531
"FINNISH",7,1.55120747399965,"natural",0.254449369696132
"FRENCH",7,1.79435693416384,"natural",0.497009232601666
"GEORGIAN",9,2.02632689872203,"natural",0.830641167606781
"GERMAN",4,2.03881973878176,"natural",0.392795206462237
"GREEK",7,2.84657782739133,"natural",1.54694931956077
"HAUSA",3,2.13911219853198,"natural",0.221178312504512
"HEBREW",6,1.83820689551045,"natural",0.464140569765424
"HINDI",3,2.9059149537255,"natural",0.929091826075571
"HUNGARIAN",4,1.61947605186557,"natural",0.0181655520958531
"ICELAND",10,1.30174682938502,"natural",0.142275497084972
"IRISH",4,2.05605759564936,"natural",0.409660889075217
"ITALIAN",5,1.77770928140167,"natural",0.29673463209537
"JAPANESE",5,1.77770928140167,"natural",0.29673463209537
"KANNADA",6,1.61803099904161,"natural",0.244884171987752
"KAZAKH",5,1.44951426798937,"natural",0.0287895369188906
"KOREAN",5,1.77770928140167,"natural",0.29673463209537
"LATIN",11,1.141670991178,"natural",0.0159559812880625
"LATVIAN",4,1.61947605186557,"natural",0.0181655520958531
"LEZGIAN",5,1.77770928140167,"natural",0.29673463209537
"LITHUANIAN",11,1.40389731654788,"natural",0.273230767150529
"MALTESE",3,2.15236595657926,"natural",0.233587402745275
"NANAY",7,2.23507653563137,"natural",0.936822615255741
"OSSETIC",6,1.69014084507042,"natural",0.316671371273043
"PERSIAN",3,2.15236595657926,"natural",0.233587402745275
"POLISH",4,1.61947605186557,"natural",0.0181655520958531
"PORTUG",5,2.4835388723152,"natural",0.996492383755817
"QUECHUA",3,2.84871591971801,"natural",0.877224917769549
"ROMANIAN",5,1.77770928140167,"natural",0.29673463209537
"RUSSIAN",16,1.18278776386771,"natural",0.144822761198805
"SERBIAN",7,1.50370379073505,"natural",0.20699654625933
"SWAHILI",3,2.13911219853198,"natural",0.221178312504512
"SWEDISH",7,2.00263504611331,"natural",0.704858811401435
"TURKISH",5,2.48857409184447,"natural",1.0014840684626
"YAKUT",6,1.47810376528899,"natural",0.105480093337394
