"LANG","complexityoflanguages","costoflanguages","RSAcostoflanguages","type","minimal"
"fl5001",9,3.98386167146974,3.49383138844368,"Not Haspel-ok",2.82925602644879
"fl5002",18,2.86709805873569,2.2773789502802,"Not Haspel-ok",1.94653434876226
"fl5003",13,3.78118161925602,2.80945079920054,"Not Haspel-ok",2.7711829801228
"fl5004",13,3.19025200775409,2.41526179830431,"Not Haspel-ok",2.18052505583719
"fl5005",8,3.14926189174412,2.02658513176564,"Not Haspel-ok",1.93675073358975
"fl5006",6,3.96557659208262,3.13232420687827,"Not Haspel-ok",2.56575955096605
"fl5007",21,2.95566502463054,2.04348908009429,"Not Haspel-ok",2.06799285117484
"fl5008",16,3.3679286653998,2.75135339190644,"Not Haspel-ok",2.41853807494878
"fl5009",23,3.18319977894446,2.51719764062533,"Not Haspel-ok",2.31336193838482
"fl5010",15,3.6272040302267,2.69057212665253,"Not Haspel-ok",2.66017573147968
"fl5011",13,4.30364614465033,2.92087589943738,"Not Haspel-ok",3.29348848335654
"fl5012",24,2.80014584092922,2.28023060584472,"Not Haspel-ok",1.9371527086904
"fl5013",18,3.56490793749033,2.65021248025196,"Not Haspel-ok",2.64434202478417
"fl5014",18,4.18528610354224,2.62437897654327,"Not Haspel-ok",3.26471902322789
"fl5015",17,4.13740593267617,2.69512084848996,"Not Haspel-ok",3.20313870326532
"fl5016",11,2.86709805873569,2.48242753871803,"Not Haspel-ok",1.79903172325724
"fl5017",3,5.37313432835821,4.10282579575174,"Not Haspel-ok",2.07065411855467
"fl5018",7,2.17071791972866,1.70119995784339,"Not Haspel-ok",0.885191311405097
"fl5019",22,3.43940829438787,2.28267200411813,"Not Haspel-ok",2.56112206869829
"fl5020",10,3.43061346039309,2.7952449727808,"Not Haspel-ok",2.32385798168295
"fl5021",22,3.2189560746619,2.1030910185738,"Not Haspel-ok",2.34078114482528
"fl5022",13,3,2.30595088027816,"Not Haspel-ok",1.99039484133923
"fl5023",2,5.4421768707483,4.28164000080908,"Not Haspel-ok",1.10790410266257
"fl5024",17,3.73552968643601,2.28994832465515,"Not Haspel-ok",2.80126334619611
"fl5025",15,2.55187181569815,2.0182182782139,"Not Haspel-ok",1.58493064672678
"fl5026",16,3.29513167178353,2.50541268409771,"Not Haspel-ok",2.34578218450243
"fl5030",6,4.96551724137931,2.96509942389891,"Not Haspel-ok",3.55707235082845
"fl5031",16,2.516107895599,1.72003361886524,"Not Haspel-ok",1.56676869072195
"fl5033",18,3.46921075455334,2.30364119546431,"Not Haspel-ok",2.54864507256245
"fl5034",19,3.50630851456701,2.25704697218952,"Not Haspel-ok",2.59819178808145
"fl5035",3,7.64940239043825,5.70265536990581,"Not Haspel-ok",2.39538322188222
"fl5036",2,6.77966101694915,4.84323338273858,"Not Haspel-ok",1.3110877509031
"fl5037",4,6.79245283018868,5.19024788330103,"Not Haspel-ok",3.29776205035368
"fl5038",20,2.77525716901284,1.84235640274918,"Not Haspel-ok",1.87828311700353
"fl5039",13,3.60090022505627,2.53184451411038,"Not Haspel-ok",2.59097133871906
"fl5040",13,4.2069385270846,2.96865977675521,"Not Haspel-ok",3.19680638103142
"fl5041",13,2.87746782831109,2.05751121646193,"Not Haspel-ok",1.86793389667439
"fl5042",13,3.27040454222853,2.28353774039458,"Not Haspel-ok",2.26063241481742
"fl5043",8,2.86781179985064,2.00273367482938,"Not Haspel-ok",1.6559297830959
"fl5044",16,2.89490878021812,2.15172940244962,"Not Haspel-ok",1.94556845978889
"fl5045",4,3.94250513347023,2.97088783630214,"Not Haspel-ok",2.11457069121566
"fl5046",10,3.26715825297788,2.19382633412077,"Not Haspel-ok",2.16051817850717
"fl5047",5,4.43418013856813,2.81682470847054,"Not Haspel-ok",2.86568339075927
"fl5048",4,6.12765957446809,4.0735256942689,"Not Haspel-ok",3.19995442207999
"fl5049",11,2.44793880152996,2.08851315296739,"Not Haspel-ok",1.38003150376988
"fl5050",18,3.55722437686816,2.3704609951553,"Not Haspel-ok",2.63665848206786
"fl5051",22,3.47807884450492,2.48852560101173,"Not Haspel-ok",2.59977504127497
"fl5052",9,5.21739130434783,4.45633982586724,"Not Haspel-ok",4.06103707082358
"fl5053",12,3.48457350272232,2.8451647404775,"Not Haspel-ok",2.44792170341637
"fl5054",14,3.44325993822856,3.09580949795308,"Not Haspel-ok",2.45632298699364
"fl5055",16,1.89504852771838,1.82356164190855,"Not Haspel-ok",0.945713085545979
"fl5056",7,4.05891057712635,2.89985110325725,"Not Haspel-ok",2.76600590050941
"fl5058",4,2.60162601626016,2.0245200899486,"Not Haspel-ok",0.844186340798491
"fl5059",15,3.36203122719977,2.43690239307291,"Not Haspel-ok",2.39501714662942
"fl5060",26,3.09774570877964,2.39329094992029,"Not Haspel-ok",2.24994038222645
"fl5061",14,2.24736636753804,1.91275635318226,"Not Haspel-ok",1.26103125814173
"fl5062",16,3.79884583676834,2.56878799264154,"Not Haspel-ok",2.84925494077045
"fl5063",11,3.15616438356164,2.39585705288518,"Not Haspel-ok",2.08784183635264
"fl5064",4,4.89795918367347,3.59495605655331,"Not Haspel-ok",2.8840404742497
"fl5065",6,3.96557659208262,3.13232420687827,"Not Haspel-ok",2.56575955096605
"fl5066",15,3.11519740400216,2.57194839888717,"Not Haspel-ok",2.14819971264435
"fl5067",10,2.99687825182102,2.69555545897072,"Not Haspel-ok",1.89047276967667
"fl5068",12,3.87791741472173,2.29032124885262,"Not Haspel-ok",2.84102305304986
"fl5069",11,2.85667052405356,2.60216139774243,"Not Haspel-ok",1.78861497783964
"fl5070",9,3.34009857929835,3.04606327393769,"Not Haspel-ok",2.18639366124308
"fl5071",4,5.92592592592593,4.110081398217,"Not Haspel-ok",3.16371807806385
"fl5072",5,9.11392405063291,8.50796499887817,"Not Haspel-ok",4.50000583554562
"fl5074",18,2.98406942105945,2.06426381305867,"Not Haspel-ok",2.06350523791687
"fl5075",2,6.95652173913043,5.49663928304705,"Not Haspel-ok",1.33112651801404
"fl5076",20,3.37339895323118,2.3534580245943,"Not Haspel-ok",2.47635106886309
"fl5077",10,4.57736218908108,3.5180972760126,"Not Haspel-ok",3.46953336564765
"fl5078",17,3.11006722280716,2.2520035114973,"Not Haspel-ok",2.17580291984684
"fl5079",17,3.45775654032248,2.49979692820474,"Not Haspel-ok",2.5234909801952
"fl5080",14,2.64803236484002,2.08679375720527,"Not Haspel-ok",1.66146487101659
"fl5081",19,3.91296373035876,2.52352706818686,"Not Haspel-ok",3.00481011114059
"fl5083",14,2.93990047211944,1.87000437275987,"Not Haspel-ok",1.95316244059518
"fl5084",9,4.00300225168877,2.91948765112004,"Not Haspel-ok",2.84836723940874
"fl5085",3,4.87309644670051,4.00423459665467,"Not Haspel-ok",1.93883538026427
"fl5088",13,3.59760159893405,2.56266303429648,"Not Haspel-ok",2.58767407939698
"fl5089",9,3.4302729528536,2.51358225092034,"Not Haspel-ok",2.27645434419349
"fl5090",15,3.4128277292253,2.1729031837372,"Not Haspel-ok",2.44581068629983
"fl5091",17,3.18109018611587,2.11464916245288,"Not Haspel-ok",2.24682559473057
"fl5092",3,6.0952380952381,4.50496081995055,"Not Haspel-ok",2.20834713844157
"fl5093",3,5.81818181818182,4.55250905328505,"Not Haspel-ok",2.16107207548583
"fl5094",19,3.55098895453378,3.03496026092098,"Not Haspel-ok",2.64287013005144
"fl5095",4,3.3922261484099,3.35200493522517,"Not Haspel-ok",1.59826032267773
"fl5096",4,4.57142857142857,4.05556544416476,"Not Haspel-ok",2.68199276192477
"fl5097",21,3.89926888708367,2.22016047036457,"Not Haspel-ok",3.01159151388892
"fl5098",15,3.63120567375887,3.05617816623191,"Not Haspel-ok",2.66417718212726
"fl5099",1,7.05882352941176,5.17602283539486,"Not Haspel-ok",0.347658610835234
"fl5100",8,3.65366317792579,2.80090375569982,"Not Haspel-ok",2.44001278005976
"fl5101",10,3.57098574085555,2.4439390977878,"Not Haspel-ok",2.46409494241544
"fl5102",17,2.93403514729604,2.2331150988893,"Not Haspel-ok",1.99977164751958
"fl5103",11,2.98136645962733,2.51207199973693,"Not Haspel-ok",1.91318959384956
"fl5104",13,3.26530612244898,2.72743674637345,"Not Haspel-ok",2.2555367730119
"fl5105",16,5.66199093688256,4.37753283575475,"Not Haspel-ok",4.71195555381694
"fl5107",3,5.37313432835821,4.10282579575174,"Not Haspel-ok",2.07065411855467
"fl5108",7,3.82851445663011,2.24174129745687,"Not Haspel-ok",2.53655811807934
"fl5109",3,5.37313432835821,4.10282579575174,"Not Haspel-ok",2.07065411855467
"fl5110",2,6.95652173913043,5.49663928304705,"Not Haspel-ok",1.33112651801404
"fl5111",12,4.73684210526316,3.11586102624808,"Not Haspel-ok",3.69959730892901
"fl5112",11,3.20370799536501,1.90905333621337,"Not Haspel-ok",2.13534994811077
"fl5113",15,3.79171878085709,3.17830414995789,"Not Haspel-ok",2.82468300288132
"fl5114",11,3.13953488372093,2.09253813727317,"Not Haspel-ok",2.07122513806394
"fl5116",9,2.76192759530089,2.31310634944318,"Not Haspel-ok",1.60899881311602
"fl5117",9,3.10177705977383,1.93707546036771,"Not Haspel-ok",1.94838171632351
