"LANG","complexityoflanguages","costoflanguages","type","minimal"
"fl5001",9,3.49383138844368,"Not Haspel-ok",2.23760977944353
"fl5002",18,2.2773789502802,"Not Haspel-ok",1.17341292950958
"fl5003",13,2.80945079920054,"Not Haspel-ok",1.64643360654082
"fl5004",13,2.41526179830431,"Not Haspel-ok",1.25226636219185
"fl5005",8,2.02658513176564,"Not Haspel-ok",0.733749956867503
"fl5006",6,3.13232420687827,"Not Haspel-ok",1.72342188352174
"fl5007",21,2.04348908009429,"Not Haspel-ok",0.95920372735986
"fl5008",16,2.75135339190644,"Not Haspel-ok",1.62664225170663
"fl5009",23,2.51719764062533,"Not Haspel-ok",1.44494015151926
"fl5010",15,2.69057212665253,"Not Haspel-ok",1.55493666138372
"fl5011",13,2.92087589943738,"Not Haspel-ok",1.75785045102208
"fl5012",24,2.28023060584472,"Not Haspel-ok",1.21298107198034
"fl5013",18,2.65021248025196,"Not Haspel-ok",1.54586675876459
"fl5014",18,2.62437897654327,"Not Haspel-ok",1.52005356152307
"fl5015",17,2.69512084848996,"Not Haspel-ok",1.58038523600977
"fl5016",11,2.48242753871803,"Not Haspel-ok",1.2812913590537
"fl5017",3,4.10282579575174,"Not Haspel-ok",2.01583863247182
"fl5018",7,1.70119995784339,"Not Haspel-ok",0.360571689764519
"fl5019",22,2.28267200411813,"Not Haspel-ok",1.20715707543827
"fl5020",10,2.7952449727808,"Not Haspel-ok",1.56950574578087
"fl5021",22,2.1030910185738,"Not Haspel-ok",1.02827368060026
"fl5022",13,2.30595088027816,"Not Haspel-ok",1.14296413507372
"fl5023",2,4.28164000080908,"Not Haspel-ok",1.15297853711492
"fl5024",17,2.28994832465515,"Not Haspel-ok",1.1753491970499
"fl5025",15,2.0182182782139,"Not Haspel-ok",0.882619457240084
"fl5026",16,2.50541268409771,"Not Haspel-ok",1.380703562444
"fl5030",6,2.96509942389891,"Not Haspel-ok",1.55671542377821
"fl5031",16,1.72003361886524,"Not Haspel-ok",0.595342109659212
"fl5033",18,2.30364119546431,"Not Haspel-ok",1.19964070588572
"fl5034",19,2.25704697218952,"Not Haspel-ok",1.16019930929585
"fl5035",3,5.70265536990581,"Not Haspel-ok",2.41550375540138
"fl5036",2,4.84323338273858,"Not Haspel-ok",1.28720644417798
"fl5037",4,5.19024788330103,"Not Haspel-ok",3.31594469495408
"fl5038",20,1.84235640274918,"Not Haspel-ok",0.757499310875467
"fl5039",13,2.53184451411038,"Not Haspel-ok",1.36884133850705
"fl5040",13,2.96865977675521,"Not Haspel-ok",1.80559645837253
"fl5041",13,2.05751121646193,"Not Haspel-ok",0.894552122957002
"fl5042",13,2.28353774039458,"Not Haspel-ok",1.12055298664527
"fl5043",8,2.00273367482938,"Not Haspel-ok",0.709912414575241
"fl5044",16,2.15172940244962,"Not Haspel-ok",1.02702487843751
"fl5045",4,2.97088783630214,"Not Haspel-ok",1.32272154679046
"fl5046",10,2.19382633412077,"Not Haspel-ok",0.968319042197219
"fl5047",5,2.81682470847054,"Not Haspel-ok",1.31554183170213
"fl5048",4,4.0735256942689,"Not Haspel-ok",2.4029928646207
