"LANG","complexityoflanguages","costoflanguages","type","minimal"
"fl1",5,3.00686433988819,"Haspel-ok",1.50434896166756
"fl10",9,1.93861553715719,"Haspel-ok",0.68343959375172
"fl100",19,2.14587952294382,"Haspel-ok",1.04922706317795
"fl1000",5,2.40379127643272,"Haspel-ok",0.905110694555983
"fl1001",6,2.77792063534611,"Haspel-ok",1.37009240535435
"fl1002",13,2.22010264458651,"Haspel-ok",1.05712398488322
"fl1003",16,1.88888022293733,"Haspel-ok",0.764181872452877
"fl1004",21,1.92844226922428,"Haspel-ok",0.844252740057129
"fl1005",4,5.05393441918432,"Haspel-ok",3.28566095474792
"fl1006",2,3.70665044227079,"Haspel-ok",0.947373097865475
"fl1007",13,1.48462206776716,"Haspel-ok",0.321889467584172
"fl1008",3,2.70519520442668,"Haspel-ok",0.812251970799448
"fl1009",14,2.63265230428784,"Haspel-ok",1.48438134729206
"fl101",15,2.65990861757894,"Haspel-ok",1.52427411999037
"fl1010",3,5.03786369071343,"Haspel-ok",2.30592828525159
"fl1011",14,2.41079101584104,"Haspel-ok",1.26271580243837
"fl1012",13,2.43732364161973,"Haspel-ok",1.27432663227324
"fl1013",4,5.05393441918432,"Haspel-ok",3.28566095474792
"fl1014",3,3.73418031780742,"Haspel-ok",1.74960309286821
"fl1015",12,2.4848315383518,"Haspel-ok",1.30409911129751
"fl1016",19,1.90747208891946,"Haspel-ok",0.8114184728176
"fl1017",14,2.51187391978662,"Haspel-ok",1.36370162788763
"fl1018",13,3.06389488543764,"Haspel-ok",1.90076176757116
"fl1019",20,1.8136862132837,"Haspel-ok",0.729103726515525
"fl102",16,2.55305201143864,"Haspel-ok",1.42834244450432
"fl1020",12,2.43028458310631,"Haspel-ok",1.24955938774113
"fl1021",16,2.1358002563031,"Haspel-ok",1.01109601505355
"fl1022",1,12.3076923076923,"Haspel-ok",0.763646070397086
"fl1023",15,3.10225057270416,"Haspel-ok",1.96660503782124
"fl1024",3,4.59165053912082,"Haspel-ok",2.19986098324335
"fl1025",11,3.37525841401506,"Haspel-ok",2.17399329667352
"fl1026",2,4.00225963168004,"Haspel-ok",1.06424204023406
"fl1027",15,2.18989147014585,"Haspel-ok",1.05427884944671
"fl1028",10,3.2505222223148,"Haspel-ok",2.0246990372392
"fl1029",17,2.43441023968753,"Haspel-ok",1.3197528377332
"fl103",3,2.35690559861359,"Haspel-ok",0.483025123219365
"fl1030",12,2.59388810845824,"Haspel-ok",1.41314289675907
"fl1031",5,3.12798250457709,"Haspel-ok",1.62467015488572
"fl1032",18,2.41223819275573,"Haspel-ok",1.30810985595956
"fl1033",2,5.49663928304705,"Haspel-ok",1.39661113246577
"fl1034",18,1.66806676320656,"Haspel-ok",0.56579891503565
"fl1035",13,1.89255320172235,"Haspel-ok",0.729622870430206
"fl1036",6,1.88217881651001,"Haspel-ok",0.476950510283256
"fl1037",5,2.92127897738303,"Haspel-ok",1.41932152143964
"fl1038",4,5.05393441918432,"Haspel-ok",3.28566095474792
"fl1039",12,2.34388388485112,"Haspel-ok",1.16317153220322
"fl104",14,2.10974241715191,"Haspel-ok",0.962077124025732
"fl1040",12,2.20040899820498,"Haspel-ok",1.01972277909078
"fl1041",17,1.71971982797448,"Haspel-ok",0.605622179939376
"fl1042",8,2.96726436308079,"Haspel-ok",1.6736166939636
"fl1043",14,3.08546639123767,"Haspel-ok",1.93693502663816
"fl1044",6,2.62070433021015,"Haspel-ok",1.21332358373757
