"LANG","complexityoflanguages","costoflanguages","RSAcostoflanguages","type","minimal"
"BASQUE",7,1.69611307420495,1.49202015026817,"natural",0.412331641492575
"BULGARIAN",5,2.33009708737864,2.04404189053382,"natural",0.799548787381503
"CATALAN",5,2.09150326797386,1.77770928140167,"natural",0.564484922006687
"CHINESE",6,1.49068322981367,1.49068322981367,"natural",0.109020908470386
"DUTCH",4,2.30769230769231,2.02377656586399,"natural",0.561581246021604
"ENGLISH",4,1.98347107438017,1.61947605186557,"natural",0.24884252592259
"FINNISH",7,1.67539267015707,1.55120747399965,"natural",0.391677215174987
"FRENCH",7,2.20436280137773,1.79435693416384,"natural",0.918703912302356
"GEORGIAN",8,2.21709006928407,2.02632689872203,"natural",1.00662405875912
"GERMAN",4,2.60692464358452,2.03881973878176,"natural",0.849269501955503
"GREEK",7,2.90030211480362,2.84657782739133,"natural",1.6120082451528
"HAUSA",3,2.82352941176471,2.13911219853198,"natural",0.668543949663776
"HEBREW",6,2.16459977452086,1.83820689551045,"natural",0.778364827080267
"HINDI",3,3.52941176470588,2.9059149537255,"natural",1.24634632090308
"HUNGARIAN",4,1.98347107438017,1.61947605186557,"natural",0.24884252592259
"ICELAND",10,1.3953488372093,1.30174682938502,"natural",0.290412054062595
"IRISH",4,2.71186440677966,2.05605759564936,"natural",0.94991103004323
"ITALIAN",5,2.09150326797386,1.77770928140167,"natural",0.564484922006687
"JAPANESE",5,2.09150326797386,1.77770928140167,"natural",0.564484922006687
"KANNADA",6,1.79775280898876,1.61803099904161,"natural",0.41403547036039
"KAZAKH",5,1.93158953722334,1.44951426798937,"natural",0.406859935386248
"KOREAN",5,2.09150326797386,1.77770928140167,"natural",0.564484922006687
"LATIN",11,1.20754716981132,1.141670991178,"natural",0.140386932240355
"LATVIAN",4,1.98347107438017,1.61947605186557,"natural",0.24884252592259
"LEZGIAN",5,2.09150326797386,1.77770928140167,"natural",0.564484922006687
"LITHUANIAN",10,1.50470219435737,1.40389731654788,"natural",0.399600219280223
"MALTESE",3,2.63013698630137,2.15236595657926,"natural",0.500031376571506
"NANAY",6,2.34910277324633,2.23507653563137,"natural",0.961573186304854
"OSSETIC",6,1.69014084507042,1.69014084507042,"natural",0.307147907702566
"PERSIAN",3,2.63013698630137,2.15236595657926,"natural",0.500031376571506
"POLISH",4,1.98347107438017,1.61947605186557,"natural",0.24884252592259
"PORTUG",5,2.86140089418778,2.4835388723152,"natural",1.32255142620458
"QUECHUA",3,3.22147651006712,2.84871591971801,"natural",1.00368153480881
"ROMANIAN",5,2.09150326797386,1.77770928140167,"natural",0.564484922006687
"RUSSIAN",15,1.26565589980224,1.18278776386771,"natural",0.299641401692386
"SERBIAN",7,1.70666666666667,1.50370379073505,"natural",0.422854110724451
"SWAHILI",3,2.82352941176471,2.13911219853198,"natural",0.668543949663776
"SWEDISH",6,2.29390681003584,2.00263504611331,"natural",0.90676607256675
"TURKISH",5,2.59342638451148,2.48857409184447,"natural",1.05884863175253
"YAKUT",6,1.76039119804401,1.47810376528899,"natural",0.376941701657105
