"LANG","complexityoflanguages","costoflanguages","type","minimal"
"BASQUE",7,1.49202015026817,"natural",0.152185463672806
"BULGARIAN",5,2.04404189053382,"natural",0.547557953145083
"CATALAN",5,1.77770928140167,"natural",0.282833061504997
"CHINESE",6,1.49068322981367,"natural",0.0865552066190999
"DUTCH",4,2.02377656586399,"natural",0.390823063102003
"ENGLISH",4,1.61947605186557,"natural",0.00821215472342947
"FINNISH",7,1.55120747399965,"natural",0.210988978408315
"FRENCH",7,1.79435693416384,"natural",0.453610419967305
"GEORGIAN",8,2.02632689872203,"natural",0.73349186962951
"GERMAN",4,2.03881973878176,"natural",0.405659722027795
"GREEK",7,2.84657782739133,"natural",1.50422023884412
"HAUSA",3,2.13911219853198,"natural",0.275749685898868
"HEBREW",6,1.83820689551045,"natural",0.433155504782166
"HINDI",3,2.9059149537255,"natural",1.00035093796922
"HUNGARIAN",4,1.61947605186557,"natural",0.00821215472342947
"ICELAND",10,1.30174682938502,"natural",0.0788124916721924
"IRISH",4,2.05605759564936,"natural",0.422629439162703
"ITALIAN",5,1.77770928140167,"natural",0.282833061504997
"JAPANESE",5,1.77770928140167,"natural",0.282833061504997
"KANNADA",6,1.61803099904161,"natural",0.213621413552327
"KAZAKH",5,1.44951426798937,"natural",0.0437751610743169
"KOREAN",5,1.77770928140167,"natural",0.282833061504997
"LATIN",11,1.141670991178,"natural",0.0661665386703354
"LATVIAN",4,1.61947605186557,"natural",0.00821215472342947
"LEZGIAN",5,1.77770928140167,"natural",0.282833061504997
"LITHUANIAN",10,1.40389731654788,"natural",0.179939422176252
"MALTESE",3,2.15236595657926,"natural",0.288387221580307
"NANAY",6,2.23507653563137,"natural",0.828825925665802
"OSSETIC",6,1.69014084507042,"natural",0.285430535711514
"PERSIAN",3,2.15236595657926,"natural",0.288387221580307
"POLISH",4,1.61947605186557,"natural",0.00821215472342947
"PORTUG",5,2.4835388723152,"natural",0.984367696327196
"QUECHUA",3,2.84871591971801,"natural",0.94689494367388
"ROMANIAN",5,1.77770928140167,"natural",0.282833061504997
"RUSSIAN",15,1.18278776386771,"natural",0.0486661836495695
"SERBIAN",7,1.50370379073505,"natural",0.163771436297141
"SWAHILI",3,2.13911219853198,"natural",0.275749685898868
"SWEDISH",6,2.00263504611331,"natural",0.597055315024503
"TURKISH",5,2.48857409184447,"natural",0.989370093421017
"YAKUT",6,1.47810376528899,"natural",0.0739931529867724
